sample_id	PC1	PC2	variance_explained_pc1	variance_explained_pc2	sample_name	group	subject
SRR23380923	-0.3243014118793385	0.010552981701329959	0.544474304495726	0.11280054666741908	Subject_5_Saliva	saliva	5
SRR23380925	-0.34401282211894846	0.013172438571297528	0.544474304495726	0.11280054666741908	Subject_4_Saliva	saliva	4
SRR23380926	-0.30406781156686963	0.025036772447221575	0.544474304495726	0.11280054666741908	Subject_3_Saliva	saliva	3
SRR23380927	-0.3544833133780609	-0.022165892770391684	0.544474304495726	0.11280054666741908	Subject_1_Saliva	saliva	1
SRR23380956	0.33562528503651373	-0.2361171906704971	0.544474304495726	0.11280054666741908	Subject_8_Feces	feces	8
SRR23380958	0.30250148483202316	0.39782635345053363	0.544474304495726	0.11280054666741908	Subject_5_Feces	feces	5
SRR23380959	0.33687439988082785	-0.11487084050086717	0.544474304495726	0.11280054666741908	Subject_4_Feces	feces	4
SRR23380960	0.33040543015922164	-0.002453561956003591	0.544474304495726	0.11280054666741908	Subject_3_Feces	feces	3
SRR23380961	0.36282586120613897	-0.02571706225783499	0.544474304495726	0.11280054666741908	Subject_1_Feces	feces	1
SRR23381000	-0.34136710217150773	-0.0452639980147879	0.544474304495726	0.11280054666741908	Subject_8_Saliva	saliva	8
