sample_id	PC1	PC2	variance_explained_pc1	variance_explained_pc2	sample_name	group	subject
SRR23380923	-0.3701526662021559	0.0005489831479723602	0.388006314271399	0.11572915763264174	Subject_5_Saliva	saliva	5
SRR23380925	-0.4163151170363226	0.0021009596076853776	0.388006314271399	0.11572915763264174	Subject_4_Saliva	saliva	4
SRR23380926	-0.2693035046751436	0.03761912102159587	0.388006314271399	0.11572915763264174	Subject_3_Saliva	saliva	3
SRR23380927	-0.38031997331703205	-0.02295749547686337	0.388006314271399	0.11572915763264174	Subject_1_Saliva	saliva	1
SRR23380956	0.3400633362706544	-0.4657370184395019	0.388006314271399	0.11572915763264174	Subject_8_Feces	feces	8
SRR23380958	0.3873697117590149	0.042394959624600936	0.388006314271399	0.11572915763264174	Subject_5_Feces	feces	5
SRR23380959	0.37539747513576827	-0.09619771258308207	0.388006314271399	0.11572915763264174	Subject_4_Feces	feces	4
SRR23380960	0.3304258871374779	0.41424213842232255	0.388006314271399	0.11572915763264174	Subject_3_Feces	feces	3
SRR23380961	0.4105594109757425	0.09720993149021853	0.388006314271399	0.11572915763264174	Subject_1_Feces	feces	1
SRR23381000	-0.40772456004800384	-0.009223866814948509	0.388006314271399	0.11572915763264174	Subject_8_Saliva	saliva	8
