sample_id	SRR23380923	SRR23380925	SRR23380926	SRR23380927	SRR23380956	SRR23380958	SRR23380959	SRR23380960	SRR23380961	SRR23381000
SRR23380923	0.0	0.6083818087382022	0.7372142575008794	0.6542654936301843	0.9980924837707289	0.9755649550900725	0.9885991376087249	0.9908304115245401	0.9986736600952553	0.6195348314234161
SRR23380925	0.6083818087382022	0.0	0.6766137125413919	0.5780373063923485	0.9983796367514793	0.981816956235992	0.9852179963774491	0.9892137631352679	0.9967745825043709	0.5073822467152248
SRR23380926	0.7372142575008794	0.6766137125413919	0.0	0.8335478730517674	0.9981642720159164	0.9815473281542273	0.9947823976343264	0.9893785171112449	0.9967745825043709	0.7805023127938016
SRR23380927	0.6542654936301843	0.5780373063923485	0.8335478730517674	0.0	0.9990770082761592	0.992411805896507	0.9836379692419672	0.9929202615875697	0.996576091039504	0.5346562714022506
SRR23380956	0.9980924837707289	0.9983796367514793	0.9981642720159164	0.9990770082761592	0.0	0.8368348662709194	0.8136529772299677	0.9015145690721602	0.8271290115674561	0.9986667897322298
SRR23380958	0.9755649550900725	0.981816956235992	0.9815473281542273	0.992411805896507	0.8368348662709194	0.0	0.7561503096669645	0.8305203686290495	0.6997930832657433	0.9824910264404038
SRR23380959	0.9885991376087249	0.9852179963774491	0.9947823976343264	0.9836379692419672	0.8136529772299677	0.7561503096669645	0.0	0.8334805709259162	0.793371328584179	0.9913361861579184
SRR23380960	0.9908304115245401	0.9892137631352679	0.9893785171112449	0.9929202615875697	0.9015145690721602	0.8305203686290495	0.8334805709259162	0.0	0.7994753073623623	0.9903824866523536
SRR23380961	0.9986736600952553	0.9967745825043709	0.9967745825043709	0.996576091039504	0.8271290115674561	0.6997930832657433	0.793371328584179	0.7994753073623623	0.0	0.9967745825043709
SRR23381000	0.6195348314234161	0.5073822467152248	0.7805023127938016	0.5346562714022506	0.9986667897322298	0.9824910264404038	0.9913361861579184	0.9903824866523536	0.9967745825043709	0.0
