sample_id	SRR23380923	SRR23380925	SRR23380926	SRR23380927	SRR23380956	SRR23380958	SRR23380959	SRR23380960	SRR23380961	SRR23381000
SRR23380923	0.0	0.1738410890102386	0.2430700063705444	0.1599261462688446	0.5381195545196533	0.654848575592041	0.5961324572563171	0.6133400201797485	0.4950700104236603	0.1590283960103989
SRR23380925	0.1738410890102386	0.0	0.298925518989563	0.1945720762014389	0.5415090918540955	0.6407628059387207	0.591309666633606	0.6008100509643555	0.5141870975494385	0.2198882251977921
SRR23380926	0.2430700063705444	0.298925518989563	0.0	0.3203750550746918	0.5358533263206482	0.652849018573761	0.5999196171760559	0.5868986248970032	0.4628575444221497	0.3346782326698303
SRR23380927	0.1599261462688446	0.1945720762014389	0.3203750550746918	0.0	0.5738384127616882	0.6762534379959106	0.635015070438385	0.6359356641769409	0.5042214393615723	0.1593164503574371
SRR23380956	0.5381195545196533	0.5415090918540955	0.5358533263206482	0.5738384127616882	0.0	0.3654360771179199	0.2666574716567993	0.4117385745048523	0.2651204466819763	0.6035130023956299
SRR23380958	0.654848575592041	0.6407628059387207	0.652849018573761	0.6762534379959106	0.3654360771179199	0.0	0.2940761148929596	0.3288477063179016	0.3012213706970215	0.698714017868042
SRR23380959	0.5961324572563171	0.591309666633606	0.5999196171760559	0.635015070438385	0.2666574716567993	0.2940761148929596	0.0	0.3967948853969574	0.2913831472396851	0.6663601994514465
SRR23380960	0.6133400201797485	0.6008100509643555	0.5868986248970032	0.6359356641769409	0.4117385745048523	0.3288477063179016	0.3967948853969574	0.0	0.3905607163906097	0.6690518856048584
SRR23380961	0.4950700104236603	0.5141870975494385	0.4628575444221497	0.5042214393615723	0.2651204466819763	0.3012213706970215	0.2913831472396851	0.3905607163906097	0.0	0.543732225894928
SRR23381000	0.1590283960103989	0.2198882251977921	0.3346782326698303	0.1593164503574371	0.6035130023956299	0.698714017868042	0.6663601994514465	0.6690518856048584	0.543732225894928	0.0
