sample_id	SRR23380923	SRR23380925	SRR23380926	SRR23380927	SRR23380956	SRR23380958	SRR23380959	SRR23380960	SRR23380961	SRR23381000
SRR23380923	0.0	0.2730100452899933	0.3566383719444275	0.3396807909011841	0.797845721244812	0.7917922139167786	0.7520195245742798	0.7533441185951233	0.7810239791870117	0.4991220235824585
SRR23380925	0.2730100452899933	0.0	0.2979951500892639	0.3555753529071808	0.8055447936058044	0.8012634515762329	0.7692261934280396	0.7618435025215149	0.794654369354248	0.4835543930530548
SRR23380926	0.3566383719444275	0.2979951500892639	0.0	0.4174557328224182	0.8020172715187073	0.793192982673645	0.7544512748718262	0.7531490325927734	0.7798128128051758	0.5552263855934143
SRR23380927	0.3396807909011841	0.3555753529071808	0.4174557328224182	0.0	0.8119508624076843	0.8194214105606079	0.7834497094154358	0.789456307888031	0.80254727602005	0.4088856875896454
SRR23380956	0.797845721244812	0.8055447936058044	0.8020172715187073	0.8119508624076843	0.0	0.6611178517341614	0.493399441242218	0.5667906999588013	0.5711014270782471	0.8404580950737
SRR23380958	0.7917922139167786	0.8012634515762329	0.793192982673645	0.8194214105606079	0.6611178517341614	0.0	0.6032969951629639	0.5885675549507141	0.5963926911354065	0.8501272201538086
SRR23380959	0.7520195245742798	0.7692261934280396	0.7544512748718262	0.7834497094154358	0.493399441242218	0.6032969951629639	0.0	0.4837853014469147	0.4519129693508148	0.8204506635665894
SRR23380960	0.7533441185951233	0.7618435025215149	0.7531490325927734	0.789456307888031	0.5667906999588013	0.5885675549507141	0.4837853014469147	0.0	0.4343242049217224	0.8252664804458618
SRR23380961	0.7810239791870117	0.794654369354248	0.7798128128051758	0.80254727602005	0.5711014270782471	0.5963926911354065	0.4519129693508148	0.4343242049217224	0.0	0.8420146703720093
SRR23381000	0.4991220235824585	0.4835543930530548	0.5552263855934143	0.4088856875896454	0.8404580950737	0.8501272201538086	0.8204506635665894	0.8252664804458618	0.8420146703720093	0.0
