metric	value
selection_mode	auto_ladder
sampling_depth_config	auto
selected_sampling_depth	800
lowest_sample_id	SRR26464278
lowest_final_feature_table_reads	837
depth_ladder	800,900,1000,1500,2000,3000,5000,10000,15000,20000,30000,50000
sample_count	9
