sample_id	Aerococcaceae	Bacteroidaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Chlorobiaceae	Clostridiaceae	Clostridiales Family XIII. Incertae Sedis	Desulfovibrionaceae	Endomicrobiaceae	Flavobacteriaceae	Fusobacteriaceae	Hungateiclostridiaceae	Lachnospiraceae	Lactobacillaceae	Lentimicrobiaceae	Leptotrichiaceae	Marinilabiliaceae	Moraxellaceae	Muribaculaceae	Neisseriaceae	Paludibacteraceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Spirochaetaceae	Staphylococcaceae	Streptococcaceae	Sulfurovaceae	Synergistaceae	Tannerellaceae	Tissierellaceae	Veillonellaceae
SRR26464278	10.0	0.0	0.0	0.0	108.00174780524992	0.0	0.0	0.0	0.0	0.0	0.0	61.00000000000001	0.0	69.0	21.0	0.0	0.0	0.0	86.99584738151556	0.0	141.0	0.0	488.0041526184847	0.0	0.0	0.0	744.9829024544587	554.017097545542	0.0	0.0	0.0	0.0	0.0	288.9999999998348	0.0	0.0	0.0	0.0	229.9982521949152
SRR26464279	0.0	0.0	0.0	0.0	31.999999964375583	11.0	0.0	0.0	0.0	0.0	22.999507905204645	27.0	0.0	37.0	0.0	0.0	0.0	0.0	154.99998983612122	0.0	203.00001016387833	0.0	378.00000000000045	0.0	0.0	0.0	250.00049209479533	247.0	0.0	0.0	62.0	0.0	0.0	134.0000000356244	0.0	0.0	0.0	0.0	73.0
SRR26464280	25.0	0.0	17.0	41.0	30.0	0.0	0.0	0.0	0.0	13.0	156.0	23.0	0.0	49.0	11.0	0.0	0.0	15.000000001258307	64.00000000000001	0.0	542.0000000000013	21.000180500897542	423.00000000000006	0.0	0.0	0.0	533.9998194978441	232.00000000000017	12.0	13.0	154.000000005948	0.0	0.0	747.9999999940519	0.0	13.0	18.0	0.0	108.0
SRR26464291	0.0	0.0	0.0	40.0	73.0	52.0	0.0	0.0	0.0	20.0	14.999999999999998	99.0	0.0	128.0	25.0	0.0	0.0	0.0	27.0	16.0	581.0	0.0	311.99999999999994	12.0	0.0	24.0	546.72376249996	844.2762375000395	0.0	0.0	72.0	0.0	0.0	135.00000000000057	0.0	0.0	0.0	0.0	282.0
SRR26464292	0.0	0.0	32.00000000000001	176.99999999998832	112.999999999949	30.716533855682936	28.111438220111623	23.000000000000004	0.0	0.0	18.0	76.0	0.0	292.8883926271601	0.0	19.366833377739542	0.0	0.0	0.0	83.63317921127283	261.9999999469893	14.283466144317064	937.9957235530716	0.0	0.0	129.0000000026352	762.0464629344607	1035.953523966831	0.0	0.0	64.0	93.0	13.0	582.0027253841544	0.0	11.0	15.00000000004733	17.999332818188254	636.0023889494314
SRR26464293	14.000000000000002	0.0	0.0	42.0	79.0	0.0	0.0	0.0	0.0	0.0	14.000000000000002	92.0	17.0	269.9999982890606	815.00337898243	0.0	0.0	0.0	77.0	0.0	318.00000004676707	0.0	561.0000000000015	0.0	11.000000000000002	44.0	838.4092455860404	919.590754866404	0.0	0.0	121.99999992752801	46.0	0.0	601.0000007938976	0.0	12.0	0.0	0.0	364.9966202962737
SRR26464294	11.0	38.0	0.0	55.99999999999999	272.95200183861635	0.0	22.01799918474138	48.0	12.0	0.0	133.0	201.99999999999997	44.00000000000001	204.98200081525863	0.0	0.0	38.0	54.0	77.0	0.0	582.0000000000005	0.0	4515.047998161384	0.0	62.00000000000001	156.0	1346.0	954.0000000000001	0.0	0.0	191.00000000000003	89.0	0.0	643.9999999999999	18.0	21.0	0.0	0.0	539.9999999999998
SRR26464295	10.0	0.0	13.0	0.0	249.0008310722382	0.0	36.57784069855205	0.0	0.0	0.0	0.0	66.0	10.0	199.05501283731803	0.0	0.0	11.0	0.0	39.0	0.0	887.5093053855858	0.0	1480.3157425933796	0.0	0.0	0.0	1424.0730651076922	1407.9212238932532	0.0	0.0	0.0	0.0	0.0	769.3925072338344	0.0	0.0	0.0	0.0	642.9397995256023
SRR26464296	0.0	0.0	21.0	32.0	42.0	54.00000000000001	0.0	15.0	0.0	10.0	0.0	27.000000000000004	0.0	94.0	0.0	39.403397650503365	0.0	0.0	55.0	176.59425429344995	163.00000000000006	0.0	389.0	0.0	11.0	95.0	287.00199462506396	596.0002003872744	45.00016020183841	0.0	53.99999027743415	0.0	0.0	44.0	0.0	0.0	0.0	12.0	93.00000000000001
