species	max_relative_abundance	max_estimated_reads	prevalence_at_threshold	emu_min_relative_abundance	emu_min_estimated_reads	species_reportable	assignment_method
Muribaculum intestinale	0.0717571126751117	176.59425429344995	2	0.005	10.0	yes	EMU
Neisseria canis	0.0153006384271106	37.65487116911936	1	0.005	10.0	yes	EMU
Neisseria cinerea	0.043439049335909	458.8466781352071	3	0.005	10.0	yes	EMU
Neisseria elongata	0.0190355308721966	64.16877457017506	1	0.005	10.0	yes	EMU
Neisseria meningitidis	0.1581909259444213	820.3061513023171	8	0.005	10.0	yes	EMU
Neisseria mucosa	0.0302235165555949	83.86908433697887	4	0.005	10.0	yes	EMU
Neisseria oralis	0.0038897599352748	13.112380741811528	0	0.005	10.0	no	EMU
Neisseria subflava	0.014072331483141	27.20912218940185	2	0.005	10.0	yes	EMU
Neisseria zalophi	0.0053394125413106	22.014570260909085	1	0.005	10.0	yes	EMU
Oribacterium asaccharolyticum	0.0077815591171379	44.082532398586594	2	0.005	10.0	yes	EMU
Paludibacter propionicigenes	0.0062296590035293	21.000180500897542	1	0.005	10.0	yes	EMU
Parvimonas micra	0.0058695446369402	62.00000000000001	1	0.005	10.0	yes	EMU
Peptoanaerobacter stomatis	0.0021182700794351	12.0	0	0.005	10.0	no	EMU
Peptococcus niger	0.0035159683562847	12.0	0	0.005	10.0	no	EMU
Peptostreptococcus stomatis	0.0073140999593661	76.0	3	0.005	10.0	yes	EMU
Porphyromonas canoris	0.018751824343803	81.0000047050533	3	0.005	10.0	yes	EMU
Porphyromonas catoniae	0.0014894644177436	11.300566537421291	0	0.005	10.0	no	EMU
Porphyromonas endodontalis	0.0284436957711626	92.04508908172492	3	0.005	10.0	yes	EMU
Porphyromonas gingivalis	0.0208296555570072	142.0	6	0.005	10.0	yes	EMU
Porphyromonas pasteri	0.2519387563254848	1395.750275772901	9	0.005	10.0	yes	EMU
Prevotella baroniae	0.0034929846112295	16.225986699962675	0	0.005	10.0	no	EMU
Prevotella buccae	0.0015147211966297	16.0	0	0.005	10.0	no	EMU
Prevotella copri	0.0139243993373426	46.939150166182216	1	0.005	10.0	yes	EMU
Prevotella dentasini	0.0062790506690237	25.554803879062263	1	0.005	10.0	yes	EMU
Prevotella enoeca	0.0049752910612656	28.185023862069905	0	0.005	10.0	no	EMU
Prevotella falsenii	0.0273426934686568	154.89635849994082	8	0.005	10.0	yes	EMU
Prevotella fusca	0.0188386651106797	103.122852815861	5	0.005	10.0	yes	EMU
Prevotella intermedia	0.0077905552135728	44.13349528489029	2	0.005	10.0	yes	EMU
Prevotella koreensis	0.0065014221861032	26.0	1	0.005	10.0	yes	EMU
Prevotella loescheii	0.0179566332584368	42.815166916404415	5	0.005	10.0	yes	EMU
Prevotella melaninogenica	0.0446478656626197	157.23535538940766	4	0.005	10.0	yes	EMU
Prevotella nanceiensis	0.0604985928016313	233.0177482352852	8	0.005	10.0	yes	EMU
Prevotella oris	0.0131622156248562	39.31534748103528	3	0.005	10.0	yes	EMU
Prevotella oulorum	0.0073937944211567	28.56980387375296	1	0.005	10.0	yes	EMU
Prevotella scopos	0.008898896817248	25.6927270907274	1	0.005	10.0	yes	EMU
Prevotella sp. oral taxon 299	0.027688306837572	109.18232608523677	7	0.005	10.0	yes	EMU
Prevotella veroralis	0.0090068799500836	30.7404812696356	1	0.005	10.0	yes	EMU
Prevotellamassilia timonensis	0.1189739648292254	842.3763881044279	9	0.005	10.0	yes	EMU
Saccharicrinis carchari	0.0051121840386253	54.0	1	0.005	10.0	yes	EMU
Schwartzia succinivorans	0.0077797725912627	20.000000000157694	4	0.005	10.0	yes	EMU
Selenomonas infelix	0.0098996163018491	38.83096511676753	1	0.005	10.0	yes	EMU
Selenomonas sp. oral taxon 136	0.0034972137952458	36.941069319182105	0	0.005	10.0	no	EMU
