sample_id	Abiotrophia defectiva	Acinetobacter tandoii	Actinobacillus porcitonsillarum	Aggregatibacter actinomycetemcomitans	Aggregatibacter aphrophilus	Aggregatibacter segnis	Alkalitalea saponilacus	Alloprevotella sp. E39	Alloprevotella tannerae	Alysiella crassa	Aminipila sp. JN-18	Amniculibacterium aquaticum	Anaerocella delicata	Bacteroidales bacterium CF	Bacteroides heparinolyticus	Bariatricus massiliensis	Campylobacter concisus	Campylobacter gracilis	Campylobacter rectus	Campylobacter showae	Capnocytophaga gingivalis	Capnocytophaga leadbetteri	Capnocytophaga sp. ChDC OS43	Capnocytophaga sp. oral taxon 878	Catonella morbi	Chlorobium limicola	Desulfovibrio desulfuricans	Dialister invisus	Eikenella corrodens	Endomicrobium proavitum	Enterocloster bolteae	Faecalibacterium prausnitzii	Filifactor alocis	Filifactor villosus	Flavobacteriaceae bacterium 3519-10	Flintibacter sp. KGMB00164	Fretibacterium fastidiosum	Fusobacterium nucleatum	Fusobacterium simiae	Gemella haemolysans	Gemella morbillorum	Granulicatella elegans	Haemophilus haemolyticus	Haemophilus influenzae	Haemophilus parahaemolyticus	Haemophilus pittmaniae	Haemophilus sp. oral taxon 036	Hungateiclostridium alkalicellulosi	Hungateiclostridium straminisolvens	Hungatella hathewayi	Lachnoanaerobaculum saburreum	Lachnoclostridium sp. YL32	Lactobacillus johnsonii	Lactobacillus reuteri	Lactobacillus salivarius	Lautropia mirabilis	Lentimicrobium saccharophilum	Moraxella bovoculi	Moraxella cuniculi	Moraxella nonliquefaciens	Muribaculum intestinale	Neisseria canis	Neisseria cinerea	Neisseria elongata	Neisseria meningitidis	Neisseria mucosa	Neisseria oralis	Neisseria subflava	Neisseria zalophi	Oribacterium asaccharolyticum	Paludibacter propionicigenes	Parvimonas micra	Peptoanaerobacter stomatis	Peptococcus niger	Peptostreptococcus stomatis	Porphyromonas canoris	Porphyromonas catoniae	Porphyromonas endodontalis	Porphyromonas gingivalis	Porphyromonas pasteri	Prevotella baroniae	Prevotella buccae	Prevotella copri	Prevotella dentasini	Prevotella enoeca	Prevotella falsenii	Prevotella fusca	Prevotella intermedia	Prevotella koreensis	Prevotella loescheii	Prevotella melaninogenica	Prevotella nanceiensis	Prevotella oris	Prevotella oulorum	Prevotella scopos	Prevotella sp. oral taxon 299	Prevotella veroralis	Prevotellamassilia timonensis	Saccharicrinis carchari	Schwartzia succinivorans	Selenomonas infelix	Selenomonas sp. oral taxon 136	Selenomonas sp. oral taxon 478	Selenomonas sp. oral taxon 920	Selenomonas sputigena	Shuttleworthia satelles	Staphylococcus aureus	Stomatobaculum longum	Streptobacillus hongkongensis	Streptococcus cristatus	Streptococcus equinus	Streptococcus gordonii	Streptococcus koreensis	Streptococcus milleri	Streptococcus mitis	Streptococcus oralis	Streptococcus salivarius	Streptococcus sanguinis	Streptococcus sinensis	Streptococcus sp. A12	Streptococcus sp. I-P16	Streptococcus sp. LPB0220	Streptococcus sp. NPS 308	Streptococcus sp. oral taxon 431	Streptococcus suis	Streptococcus viridans	Sulfurovum sp. NBC37-1	Tannerella forsythia	Tannerella sp. oral taxon HOT-286	Tissierella creatinini	Treponema amylovorum	Treponema denticola	Treponema putidum	Treponema sp. OMZ 838	Tropheryma whipplei	Veillonella criceti	Veillonella dispar	Veillonella parvula	Veillonella ratti	Veillonella rodentium	[Eubacterium] yurii	[Pasteurella] aerogenes
SRR26464278	10.0	66.99584738151556	0.0	24.21124863519013	34.79727488032834	21.248396198757888	0.0	17.00665033798843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	36.62775181711973	0.0	0.0	0.0	0.0	0.0	0.0	61.00000000000001	0.0	154.0	0.0	108.00174780524992	76.12957172218307	14.936481314728962	88.30924360475287	0.0	214.7911326698483	0.0	0.0	0.0	18.372248182880263	0.0	0.0	0.0	21.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	48.27347786394894	0.0	92.72652213605107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	744.9829024544587	0.0	0.0	0.0	0.0	11.025399232333058	19.001104194171315	28.187339620697816	0.0	0.0	0.0	0.0	76.78889453563004	0.0	0.0	0.0	50.201695624701706	0.0	351.8060140000196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.32722414201157	0.0	31.113521726041068	116.14539457882849	0.0	23.004819066387057	0.0	0.0	53.30775929384592	0.0	53.10128119272071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.40119165848096	163.14589420269476	20.451166333739472	0.0	13.580803592695082
SRR26464279	0.0	0.0	0.0	23.047303234498976	105.8052274816017	53.97084424219618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.999507905204645	0.0	0.0	0.0	11.0	11.0	0.0	29.000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	27.347365886497617	11.65263411350239	31.999999964375583	26.977806922079395	0.0	105.00460562554632	0.0	51.13426692654987	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	124.3017831466588	30.698206689462403	0.0	0.0	0.0	0.0	0.0	155.74955031543212	23.735593940117468	0.0	23.514865908328737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.99999999994445	235.0004920948509	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	30.00553417484792	0.0	28.330963437551866	21.994062309134787	0.0	0.0	14.669440078465424	0.0	114.0	0.0	13.0	0.0	0.0	0.0	34.97138275491455	14.02861724508545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.445680528888037	66.06587147879054	0.0	21.63209122870777	0.0	0.0	34.85635679923805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.00000584328562	25.99999415671438	0.0	0.0	12.059945567528034
SRR26464280	25.0	0.0	0.0	25.757263042057797	62.18764640261645	47.02391382819435	15.000000001258307	19.985692615619698	0.0	0.0	0.0	0.0	12.0	38.999999999999964	0.0	0.0	0.0	10.999999999998405	0.0	30.000000000001595	84.0	16.655882482428996	32.95882986791815	22.385287649652845	22.0	0.0	0.0	43.0	19.71883605886905	13.0	0.0	13.0	0.0	0.0	0.0	0.0	13.0	23.0	0.0	49.36575315899283	20.63424684100716	30.0	41.160084345478175	10.875944405933115	200.0063955775269	0.0	35.988752398193256	0.0	0.0	0.0	27.0	0.0	0.0	11.0	0.0	17.0	0.0	51.12505842550664	0.0	12.874941574493372	0.0	0.0	49.889337494972274	64.16877457017506	377.111511457415	0.0	13.112380741811528	0.0	17.9991596767583	0.0	21.000180500897542	0.0	0.0	0.0	0.0	53.09608355729796	0.0	13.999999999999998	20.0	446.9037359405461	0.0	0.0	46.939150166182216	0.0	0.0	30.0	0.0	0.0	0.0	35.06084983381779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.01430738438046	0.0	19.00000001714494	33.371606553533496	0.0	0.0	63.62839344646651	37.99999998880307	0.0	0.0	0.0	0.0	18.695670347388983	10.654072084711382	52.95383178152269	0.0	0.0	11.08710747403478	137.4697019605677	45.39593019265535	69.2192146877714	55.04480339225397	0.0	287.3684651864768	60.1112028866689	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.99955263091525	27.00044736908475	0.0	0.0	0.0
SRR26464291	0.0	0.0	0.0	16.7912934941203	23.69734883034016	26.795602698210285	0.0	34.7115560449159	0.0	0.0	0.0	0.0	0.0	28.0	0.0	18.92582971814565	0.0	11.88340836716126	17.973030592886307	10.143561039952434	14.999999999999998	0.0	0.0	0.0	36.0	52.0	0.0	17.0	0.0	20.0	39.2490827580872	0.0	24.0	0.0	0.0	0.0	0.0	99.0	0.0	69.81972221846715	11.180277781532828	73.0	62.22475048018298	0.0	98.5950388922905	0.0	83.89596560485573	0.0	0.0	0.0	0.0	13.825087523767149	0.0	25.0	0.0	0.0	0.0	27.0	0.0	0.0	16.0	0.0	0.0	0.0	539.9056302483102	41.09436975168979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	63.99997648539993	0.0	22.0	19.00877054948743	441.7150154650726	11.921556478126607	0.0	0.0	21.43039993337816	0.0	55.00000000000001	21.982459583252044	0.0	16.000000000001762	13.738552814513602	86.86597608245822	206.4816972319677	0.0	25.23502035940796	13.465111851089835	94.50019123663328	30.7404812696356	212.20323461465892	0.0	18.001463816454066	0.0	0.0	0.0	31.99853766461617	21.99999851892976	20.0	0.0	0.0	0.0	0.0	0.0	0.0	50.508952976293024	0.0	0.0	56.44524122549844	0.0	0.0	15.02365060847033	0.0	0.0	13.022155189738765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.8193852495448	216.1806147504552	0.0	0.0	0.0
SRR26464292	0.0	0.0	0.0	90.93693177238136	75.55692152894744	23.874908887290243	0.0	27.93115499154058	23.00000000070316	0.0	23.000000000000004	0.0	0.0	75.99999900791803	0.0	15.933217240358855	21.67896227247023	67.49894019609343	74.82207132508172	13.000026206342934	18.0	0.0	0.0	0.0	56.84541362807119	30.716533855682936	0.0	22.952466682710853	0.0	0.0	91.87378142685314	0.0	87.0	0.0	0.0	0.0	11.0	76.0	0.0	111.77240132150612	10.227598678544808	112.999999999949	156.63365027075614	29.858736154372014	391.8244692136768	0.0	148.4941502507462	0.0	0.0	28.111438220111623	29.99622727895133	24.157220654338943	0.0	0.0	0.0	32.00000000000001	19.366833377739542	0.0	0.0	0.0	83.63317921127283	0.0	14.393562505760736	0.0	152.5617723321437	83.86908433697887	0.0	11.175580772105969	0.0	44.082532398586594	14.283466144317064	0.0	12.0	0.0	30.0000000026352	81.0000047050533	0.0	92.04508908172492	117.99999873044634	471.0013704172361	0.0	0.0	0.0	25.554803879062263	28.185023862069905	154.89635849994082	49.15691025421914	44.13349528489029	20.00011037809933	38.18222178446951	80.72240880261923	44.87107766564871	26.241332706894347	19.273805193227773	0.0	49.56065318893994	0.0	404.244167474506	0.0	15.000000000000002	0.0	0.0	0.0	49.0	0.0	30.00000000000006	13.0	0.0	0.0	26.39512866702557	0.0	16.14265372776554	0.0	0.0	20.21462623748935	122.67510534806928	138.2397431451539	98.30540565468246	34.24966962914086	0.0	24.95147801010769	28.55523166785444	23.51901296445721	19.46504542500827	14.038880254825976	15.25074465257376	0.0	15.00000000004733	0.0	17.999332818188254	23.000000000000004	28.0	0.0	42.0	0.0	162.4504341404853	11.76897597594026	151.55142108386738	287.2790910664276	0.0	0.0	20.815955474901404
SRR26464293	14.000000000000002	30.0	0.0	37.31307766584777	59.93478555050682	17.725394242579885	0.0	27.668383145932427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.588088025621726	12.07620076002348	12.335711214354795	14.000000000000002	0.0	0.0	0.0	50.00000000000001	0.0	0.0	73.99999920607532	0.0	0.0	43.86332515858974	0.0	29.0	0.0	0.0	13.0	12.0	92.0	0.0	170.65623877054836	32.343762441049584	79.0	49.13533469341996	28.87712429445437	118.2817583785497	0.0	172.3307259873801	0.0	17.0	0.0	40.13667313047047	0.0	21.0	794.00337898243	0.0	0.0	0.0	47.00000000000001	0.0	0.0	0.0	0.0	0.0	0.0	286.8775364320162	14.23916531656536	0.0	16.883298298185526	0.0	0.0	0.0	11.000000000000002	0.0	0.0	15.0	0.0	0.0	16.999999999999847	0.0	821.4092455860405	16.225986699962675	0.0	0.0	0.0	0.0	38.99999999554338	103.122852815861	0.0	26.0	35.45063232364288	21.986629502280127	73.04880495235376	39.31534748103528	0.0	0.0	16.854325882934276	0.0	520.9177920668583	0.0	20.000000000157694	0.0	0.0	0.0	58.00000595134955	43.99999397602076	19.00000000000042	0.0	117.0	0.0	25.41000864217124	0.0	0.0	38.2202104826657	0.0	17.929306133948423	195.93948552133412	0.0	22.25964026202601	66.97186645964183	0.0	103.72717815874722	14.046480722578366	37.94872502973478	0.0	0.0	78.54709938104986	0.0	0.0	0.0	0.0	0.0	0.0	30.0	16.0	0.0	0.0	0.0	87.09419919877759	180.2647462147498	23.63767567667097	0.0	77.40179918726291
SRR26464294	11.0	0.0	0.0	453.3750943514031	93.95871957130552	86.6683030701049	0.0	0.0	0.0	30.93404624172216	48.0	34.615049312863896	0.0	29.0	38.0	0.0	0.0	19.999983234079863	22.00036446950561	13.99965229641452	11.0	0.0	37.0	0.0	98.0	0.0	12.0	0.0	23.065981540740225	0.0	50.98629183184993	0.0	24.0	0.0	50.38495068713611	0.0	21.0	114.52906132327792	87.47093867672206	203.0	0.0	272.95200183861635	174.86103019181766	22.883867874830884	3222.6007962644085	17.60919251761441	443.0909943198988	18.52219173023713	25.47780826976288	22.01799918474138	21.995708983408687	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	458.8466781352071	0.0	48.06501910580743	21.08827497652346	0.0	0.0	0.0	0.0	0.0	62.00000000000001	0.0	0.0	76.0	0.0	0.0	36.0	142.0	1168.0	0.0	16.0	0.0	0.0	15.899518016734232	83.99999999999999	0.0	0.0	12.0	42.815166916404415	45.18483317024717	233.0177482352852	0.0	0.0	0.0	91.08273366132906	0.0	414.0	54.0	17.0	38.83096511676753	36.941069319182105	40.10289793117231	26.125067632878075	32.0	34.0	0.0	0.0	38.0	0.0	0.0	40.1347771167428	0.0	19.99944580000185	0.0	325.53407730315746	0.0	12.131124047076796	0.0	32.0201473101471	176.96574483492128	21.661311187379887	15.553372400572744	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	45.0	44.0	0.0	299.8117542432529	0.0	93.99334225880058	146.19490349794626	0.0	56.0	0.0
SRR26464295	10.0	0.0	20.0489038324884	26.004989963788358	29.13862496526992	15.804434355138511	0.0	45.880404613349626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.965160397094763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	90.25643938519993	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	282.9445823561296	27.270089296416156	249.0008310722382	175.31883184463953	14.218318613249298	639.2474415079474	0.0	513.9772611014379	0.0	10.0	36.57784069855205	0.0	18.833368133427747	0.0	0.0	0.0	13.0	0.0	39.0	0.0	0.0	0.0	17.979461632957754	0.0	0.0	820.3061513023171	0.0	0.0	27.20912218940185	22.014570260909085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.300566537421291	0.0	17.0222227973698	1395.750275772901	0.0	0.0	0.0	0.0	0.0	35.075402704399465	0.0	0.0	0.0	24.959108804236354	157.23535538940766	138.94970722771512	0.0	28.56980387375296	25.6927270907274	109.18232608523677	0.0	842.3763881044279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0000449215956	0.0	0.0	11.0	0.0	0.0	26.671169521021483	0.0	22.811974368074733	42.56119858687297	114.74880654795729	0.0	76.64494110560955	0.0	53.90028447025362	357.7919870936063	57.787221760611686	0.0	0.0	0.0	16.474923779826828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	15.73412077790277	0.0	84.4665711432409	542.7391076044587	0.0	0.0	46.55693640942021
SRR26464296	0.0	27.000000000000004	0.0	128.96974620392598	58.220126462684334	24.63623975273228	0.0	16.348810085461206	10.0	0.0	15.0	0.0	45.00016020183841	62.00000256443581	0.0	0.0	0.0	13.338701924098178	0.0	18.661298075901826	0.0	0.0	0.0	0.0	47.0	54.00000000000001	0.0	23.0	0.0	10.0	0.0	0.0	67.0	10.0	0.0	0.0	0.0	27.000000000000004	0.0	44.0	0.0	42.0	18.42527467123452	12.63067539986744	64.49313655174589	0.0	66.70714972445508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	39.403397650503365	28.0	0.0	0.0	176.59425429344995	37.65487116911936	0.0	0.0	37.77964374845411	74.38007424331924	0.0	13.18541083910732	0.0	13.0	0.0	11.0	0.0	0.0	18.0	10.0	0.0	69.9999352928312	30.989669367914253	176.0123899643185	0.0	0.0	0.0	0.0	0.0	58.94676082430647	43.73843649268849	13.067273049150906	16.0	13.9999999999937	109.87839739570713	85.10834513322096	31.07819238086673	0.0	21.900185067247502	42.30428196811357	0.0	133.62951799051768	0.0	17.00000668883591	0.0	0.0	0.0	25.999989934270747	10.999993654327492	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.47437329168443	39.94900688308264	11.576619825232944	0.0	14.91765123335448
