contrast	feature_id	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Active	rab.win.Control	diff.btw	diff.win	effect	overlap	significant	status	detail	rab.win.Latent
Active_vs_Control	Shuttleworthia satelles	0.0471735314507931	0.839092925607402	0	0	2.07520907566959	-2.40078217816017	4.26238080588948	6.49631920162859	2.74211208724026	2.36244657533056	0.000365399848804012	no	ok		NA
Active_vs_Control	Prevotella melaninogenica	0.0325111766188928	0.868147477984343	0	0	2.64374147492387	-2.22895548154499	5.90822997263996	7.69546785594502	3.31757070765161	2.1084248377446	0.000365399848804012	no	ok		NA
Active_vs_Control	Moraxella nonliquefaciens	0.349709611761672	0.984862494661041	0.453125	1	-2.19885954630599	0.0305682370535436	-3.56185775810359	-3.87934051385226	4.96911147516236	-0.773105735746358	0.213542630602218	no	ok		NA
Active_vs_Control	Streptococcus equinus	0.299270477619051	0.989781482895292	0.37734375	1	-1.99429405627441	0.152335234808971	-3.49838487543422	-3.52760637282646	4.55413499457352	-0.745845712639826	0.177084585601177	no	ok		NA
Active_vs_Control	Alkalitalea saponilacus	0.372473382067835	0.992160348430798	0.45703125	1	-2.22059706128773	-0.255681435530929	-3.41502980787258	-3.73390823547694	4.31891017114302	-0.752229042851262	0.212436194453191	no	ok		NA
Active_vs_Control	Capnocytophaga sp. oral taxon 878	0.325440644680871	0.993183732376279	0.40625	1	-2.37935958720367	-0.0379192147776619	-3.76656128077089	-4.10173678956913	4.86612539137447	-0.741758835010998	0.19270944958575	no	ok		NA
Active_vs_Control	Hungateiclostridium straminisolvens	0.426209148528257	0.994472198924538	0.253125	0.872632211538462	-0.843673261599444	-2.16926093400942	2.14909217295444	3.26502835193357	4.61506256263275	0.60233035716224	0.22279882279503	no	ok		NA
Active_vs_Control	Faecalibacterium prausnitzii	0.367803420599624	0.995798059476806	0.4671875	1	-2.32609267383197	-0.540729238442131	-3.43182261743375	-3.48095107387764	4.50380472567242	-0.681556735816153	0.233161456450763	no	ok		NA
Active_vs_Control	Haemophilus pittmaniae	0.622711961896372	0.996122140963657	0.53828125	0.925132211538462	-1.97603379358626	-2.45031577305655	-1.32175159341911	1.54035409332707	4.91788248099714	0.250514605227237	0.367875965442486	no	ok		NA
Active_vs_Control	Parvimonas micra	0.278017701607667	0.996147453644745	0.175	0.808502248759305	-0.868212388621005	-2.37435868496293	2.66183850523199	4.15195688572044	4.69993906010385	0.854177351545464	0.176167051036588	no	ok		NA
Active_vs_Control	Hungatella hathewayi	0.323747874088907	0.996158226250948	0.20546875	0.85936763337469	-0.922353125052097	-2.29024891128653	2.14634768841096	4.30901529017556	4.68591561889943	0.788191385648999	0.212436194453191	no	ok		NA
Active_vs_Control	Peptostreptococcus stomatis	0.308872248105974	0.996219349436164	0.20390625	0.871471234430497	-0.984344798950481	-2.36521832360507	3.33708081860313	4.66331185505647	5.04091448618772	0.804795038111416	0.203126036487036	no	ok		NA
Active_vs_Control	Prevotella koreensis	0.364130144494967	0.996219349436164	0.21640625	0.84374263337469	-0.826533343899003	-2.50267372375333	1.28041978172879	3.48259358476752	4.47043086128831	0.719981971836256	0.202073572267362	no	ok		NA
Active_vs_Control	Prevotella copri	0.321451036359799	0.996385575742588	0.4328125	1	-2.06165817928853	0.115525160862425	-3.33836151984675	-4.13777252639059	4.83535754989721	-0.793054387194277	0.229167533102453	no	ok		NA
Active_vs_Control	[Eubacterium] yurii	0.600460733578464	0.99704542299282	0.55625	0.926041902337858	-1.87648361888698	-2.37444814530857	-1.46156315822398	1.77337408141741	5.61382549631001	0.279840421302143	0.375000301404768	no	ok		NA
Active_vs_Control	Streptococcus salivarius	0.351326001103789	0.997056183263949	0.44296875	1	-2.41159521066818	-0.557272873672058	-3.6635974828445	-4.42864007339327	5.79264920377082	-0.699770044661155	0.229167533102453	no	ok		NA
Active_vs_Control	Streptobacillus hongkongensis	0.368557319774884	0.997303897992241	0.215625	0.87249263337469	-0.879025588328156	-2.10455580175801	2.52587407468445	3.6896947892904	4.98038641570314	0.709100988588281	0.196892263794227	no	ok		NA
Active_vs_Control	Prevotella buccae	0.633812368966719	0.997677041595414	0.521875	0.944070512820513	-1.82330151422262	-2.37140110101737	-1.3178756635227	1.31130037008828	4.46180683174768	0.266791404683901	0.401041899485425	no	ok		NA
Active_vs_Control	Tannerella sp. oral taxon HOT-286	0.340411600152459	0.997716229176996	0.4390625	1	-1.99235549513908	-0.256628528212473	-3.48806349807269	-3.60367695062945	4.55853356728271	-0.747025599910954	0.218750930036074	no	ok		NA
Active_vs_Control	Neisseria canis	0.373521446594388	0.997897129378661	0.25390625	0.944896069004525	-0.985623793699308	-2.52261333005632	3.36824038031698	4.61684460575329	5.63268332701356	0.796093368711859	0.213542630602218	no	ok		NA
Active_vs_Control	Streptococcus cristatus	0.315487111741447	0.997940352575718	0.37734375	1	-2.14998670459307	0.0657851431812322	-3.53594213223875	-4.03526761970273	4.59320755743366	-0.850482467590457	0.196892263794227	no	ok		NA
Active_vs_Control	Bacteroides heparinolyticus	0.637556074764731	0.997980051516227	0.56015625	0.926654647435897	-1.89113787475866	-2.55708699030959	-1.19931177473974	1.8323722808081	4.86175242753156	0.315816530741057	0.378238631543462	no	ok		NA
Active_vs_Control	Streptococcus sinensis	0.336445393860472	0.999078718980856	0.434375	1	-2.46578303700566	-0.530374883883735	-3.85413667903351	-4.19988186925179	5.82554304577714	-0.685284952857741	0.22279882279503	no	ok		NA
Active_vs_Control	Paludibacter propionicigenes	0.36496911617745	0.99935390477091	0.440625	1	-2.21685576533921	-0.189119969797442	-3.45654976135736	-3.83960727393878	4.94743509799145	-0.715349725041695	0.218750930036074	no	ok		NA
Active_vs_Control	Aminipila sp. JN-18	0.302184150474633	0.999911994950222	0.20625	0.886154492349049	-1.15133441034834	-2.61317232062686	2.92511543563979	4.26548169176391	4.69026747611666	0.865797454571756	0.182292871160296	no	ok		NA
Active_vs_Control	Campylobacter rectus	0.665766459440451	0.999911994950222	0.58359375	0.93137443438914	-1.98294494193078	-2.45081328270974	-1.35393420500206	1.1980839314253	5.13813108577335	0.222007403721515	0.385416940043501	no	ok		NA
Active_vs_Control	Desulfovibrio desulfuricans	0.633191009794783	0.999911994950222	0.5484375	0.948373397435897	-1.96309734424881	-2.24343750106395	-1.49150189351493	0.921467066094597	4.50129883964975	0.155987555722266	0.409326634621006	no	ok		NA
Active_vs_Control	Streptococcus milleri	0.366983859719578	0.999911994950222	0.2328125	0.860097035712548	-0.846717027196889	-1.97989418481249	1.96883743969869	3.94941932475425	4.35435167162341	0.723785778521212	0.218750930036074	no	ok		NA
Active_vs_Control	Abiotrophia defectiva	0.572009898528887	1	0.5078125	1	1.81500374433984	3.37961253604718	1.20393629921839	-1.72016576431225	4.38548857203389	-0.386510026728417	0.260417369656193	no	ok		NA
Active_vs_Control	Acinetobacter tandoii	0.709439329398107	1	0.78671875	1	-1.55303969527274	-0.819859240283072	-2.13096746191552	-2.04138981351631	7.87345567244804	-0.224105744018006	0.383419964923157	no	ok		NA
Active_vs_Control	Actinobacillus porcitonsillarum	0.704581810939909	1	0.6375	0.958313536953243	-2.35314974633888	-2.27593341425576	-2.43660998030427	0.906951366365501	6.36017477534376	0.178581811888595	0.437500143526281	no	ok		NA
Active_vs_Control	Aggregatibacter actinomycetemcomitans	0.383858030816491	1	0.23828125	0.991879652605459	5.02751160052557	4.74489985126321	6.14136488314638	1.22361971606437	1.81630535222969	0.656775576290139	0.233161456450763	no	ok		NA
