contrast	feature_id	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Active	rab.win.Control	diff.btw	diff.win	effect	overlap	significant	status	detail	rab.win.Latent
Active_vs_Control	Lactobacillaceae	0.171752453716505	0.938419346867986	0.253125	1	-2.40144903048015	1.00146430530318	-4.79546129906139	-5.44601240984111	4.74357770874703	-1.08298793683654	0.109377266019354	no	ok		NA
Active_vs_Control	Clostridiales Family XIII. Incertae Sedis	0.37315163838516	0.950210856465034	0.228125	0.805509990230143	-1.45877705947818	-3.09374135780695	1.34553433259362	3.27780991350295	4.49579010775214	0.605855830509161	0.207254882531613	no	ok		NA
Active_vs_Control	Ruminococcaceae	0.364442703754448	0.970273840807756	0.45	0.9994140625	-3.19088231700091	-1.06614978658408	-4.77686139939228	-3.42873881680703	4.74436718936017	-0.747563117178072	0.217617507910972	no	ok		NA
Active_vs_Control	Tannerellaceae	0.353265507622027	0.972319321633006	0.44453125	0.9994140625	-3.22752153303769	-1.10289063763898	-4.62405453993702	-3.57494432791607	4.80144362229755	-0.658144843851107	0.213542630602218	no	ok		NA
Active_vs_Control	Leptotrichiaceae	0.379015716030776	0.977813730606088	0.22734375	0.829075381573084	-2.14480325132911	-3.53859594100539	1.24056782399574	3.82599339410012	4.72817917510171	0.738796453563529	0.213542630602218	no	ok		NA
Active_vs_Control	Peptostreptococcaceae	0.258612854500206	0.98086832844962	0.19375	0.793070691818394	-1.69869947156565	-3.24144082733116	3.32796010351963	5.80868901792939	5.67804883496711	1.00363189462362	0.176167051036588	no	ok		NA
Active_vs_Control	Paludibacteraceae	0.30062506016489	0.982270804357949	0.3875	0.9994140625	-2.95624327831691	-1.09686439142084	-4.62933571691549	-3.79977614460277	4.4724714327658	-0.747428958957159	0.186529652830392	no	ok		NA
Active_vs_Control	Hungateiclostridiaceae	0.366472109722404	0.984192759778705	0.221875	0.831373248636576	-2.13004990433174	-3.28508158081922	1.45369753163924	3.95974703578224	5.08147139999554	0.737806324196005	0.217617507910972	no	ok		NA
Active_vs_Control	Desulfovibrionaceae	0.701016336877695	0.986005916075495	0.6140625	0.921659451659452	-2.89122648193238	-3.49831405261035	-2.1774020747024	0.795501623922389	4.02637645853615	0.158763343499887	0.41666686042708	no	ok		NA
Active_vs_Control	Peptoniphilaceae	0.347063310003007	0.988477777498253	0.21171875	0.806620644469909	-1.57438720554537	-3.07887373008558	1.16788038510365	3.4657790574608	4.11114183104175	0.761440527246237	0.197917742061982	no	ok		NA
Active_vs_Control	Sulfurovaceae	0.660528888653682	0.994037686567917	0.5765625	0.935338859277762	-2.78530726684213	-3.29077013186405	-2.2899545227316	0.983712391873788	4.6658771697197	0.218416782701828	0.424870638281578	no	ok		NA
Active_vs_Control	Clostridiaceae	0.35622563835279	0.994272728879939	0.240625	0.854606817881658	-1.82362494129189	-3.2092688805773	0.572559415759051	3.8646589798151	5.08780518376808	0.626589814122877	0.234375836542746	no	ok		NA
Active_vs_Control	Spirochaetaceae	0.566466250707962	0.994673076444786	0.4953125	0.937124318253019	-2.86395036103145	-3.43451613521276	-2.08458413030714	2.09619536695585	5.5720633569222	0.341423269564932	0.359375345192969	no	ok		NA
Active_vs_Control	Lentimicrobiaceae	0.674314371004102	0.995205865351194	0.609375	0.951289317810458	-3.13679142533008	-3.2019439052973	-3.02419128844955	1.31774677417138	6.28008381812507	0.172722500057586	0.430051973081517	no	ok		NA
Active_vs_Control	Moraxellaceae	0.17175993608759	0.997141222209915	0.27734375	0.9994140625	3.84450270826129	6.00302877486981	3.39488752222093	-2.55075564344266	1.65600707889233	-1.19254390991294	0.171876302777131	no	ok		NA
Active_vs_Control	Aerococcaceae	0.591742935056535	1	0.62578125	1	1.09732755091168	2.01342703143964	-0.483477600842555	-1.84289737068599	4.63574312884113	-0.375040321627745	0.321243981829087	no	ok		NA
Active_vs_Control	Bacteroidaceae	0.662353280478747	1	0.56875	0.935459930184195	-2.86437478782148	-3.32368785984759	-2.39540701357953	1.59523865395628	4.85435285341468	0.275220177481679	0.395833579489825	no	ok		NA
Active_vs_Control	Burkholderiaceae	0.780936457962293	1	0.409375	0.98601134702286	0.861420524824412	-0.894281861832487	1.90370272487624	1.41652176489839	6.54981144868842	0.22975900165224	0.32812544059081	no	ok		NA
Active_vs_Control	Campylobacteraceae	0.718929939883655	1	0.68125	0.99429673573975	1.30560771579835	-0.832939366670542	1.79677320905905	1.28498058075095	5.19396965247754	0.188039108965646	0.430051973081517	no	ok		NA
Active_vs_Control	Carnobacteriaceae	0.881071947231047	1	0.734375	0.996571892737358	4.29832059549675	4.47928833268245	4.11851484746218	0.192145300629092	2.68174039065741	0.0944935071596325	0.450777313270224	no	ok		NA
Active_vs_Control	Chlorobiaceae	0.836248897809633	1	0.778125	0.995785845588235	-2.5743341659967	-2.20159857956204	-2.94841367740831	-0.311524294740428	7.23573404283661	-0.0291566976443516	0.468750070918891	no	ok		NA
Active_vs_Control	Endomicrobiaceae	0.667549745200657	1	0.77578125	1	-2.03176544813912	-1.10575318996854	-3.34158418580983	-1.25798611057232	5.4516354855627	-0.222085219027468	0.411458539964782	no	ok		NA
Active_vs_Control	Flavobacteriaceae	0.435777586251956	1	0.4203125	1	2.34764127947855	4.1160337294493	-2.4214651744225	-4.34855675518576	6.97737092231856	-0.592427153414044	0.213542630602218	no	ok		NA
Active_vs_Control	Fusobacteriaceae	0.809475450130047	1	0.878125	1	3.91218025188283	4.36542016346284	3.64908459253794	-0.438968831828086	2.20120010068922	-0.176790448439405	0.440414642995582	no	ok		NA
Active_vs_Control	Lachnospiraceae	0.806215863409026	1	0.71015625	0.998194699754902	4.46719120077767	4.77227565988631	4.27185910956115	0.260983150588562	2.08091890565486	0.125797516016915	0.458333428181143	no	ok		NA
