sample_id	Abiotrophia	Acinetobacter	Actinobacillus	Aggregatibacter	Alkalitalea	Alloprevotella	Alysiella	Aminipila	Amniculibacterium	Anaerocella	Bacteroidales	Bacteroides	Bariatricus	Campylobacter	Capnocytophaga	Catonella	Chlorobium	Desulfovibrio	Dialister	Eikenella	Endomicrobium	Enterocloster	Faecalibacterium	Filifactor	Flavobacteriaceae	Flintibacter	Fretibacterium	Fusobacterium	Gemella	Granulicatella	Haemophilus	Hungateiclostridium	Hungatella	Lachnoanaerobaculum	Lachnoclostridium	Lactobacillus	Lautropia	Lentimicrobium	Moraxella	Muribaculum	Neisseria	Oribacterium	Paludibacter	Parvimonas	Peptoanaerobacter	Peptococcus	Peptostreptococcus	Porphyromonas	Prevotella	Prevotellamassilia	Saccharicrinis	Schwartzia	Selenomonas	Shuttleworthia	Staphylococcus	Stomatobaculum	Streptobacillus	Streptococcus	Sulfurovum	Tannerella	Tissierella	Treponema	Tropheryma	Veillonella	[Pasteurella]
SRR26464278	10.0	66.99584738151556	0.0	80.25691971427636	0.0	17.00665033798843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	36.62775181711973	0.0	0.0	0.0	0.0	0.0	61.00000000000001	154.0	108.00174780524992	394.1664293115132	0.0	0.0	18.372248182880263	0.0	21.0	0.0	0.0	20.0	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	744.9829024544587	185.20443320753392	351.8060140000196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288.9999999998348	0.0	0.0	0.0	0.0	0.0	229.9982521949152	13.580803592695082
SRR26464279	0.0	0.0	0.0	182.82337495829685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.999507905204645	11.0	11.0	0.0	29.000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	39.00000000000001	31.999999964375583	183.11667947417558	0.0	0.0	26.0	0.0	0.0	0.0	0.0	154.99998983612122	0.0	203.00001016387833	0.0	0.0	0.0	0.0	0.0	0.0	250.00049209479533	133.0	114.0	0.0	13.0	49.0	0.0	0.0	0.0	0.0	134.0000000356244	0.0	0.0	0.0	0.0	0.0	44.0	12.059945567528034
SRR26464280	25.0	0.0	0.0	134.9688232728686	15.000000001258307	19.985692615619698	0.0	0.0	0.0	12.0	38.999999999999964	0.0	0.0	41.0	156.0	22.0	0.0	0.0	43.0	19.71883605886905	13.0	0.0	13.0	0.0	0.0	0.0	13.0	23.0	69.99999999999999	30.0	288.0311767271314	0.0	0.0	27.0	0.0	11.0	17.0	0.0	64.00000000000001	0.0	522.2811639411321	0.0	21.000180500897542	0.0	0.0	0.0	0.0	533.9998194978441	112.0	100.01430738438046	0.0	19.00000001714494	134.99999998880307	0.0	0.0	0.0	0.0	747.9999999940519	0.0	18.0	0.0	0.0	0.0	65.0	0.0
SRR26464291	0.0	0.0	0.0	67.28424502267075	0.0	34.7115560449159	0.0	0.0	0.0	0.0	28.0	0.0	18.92582971814565	40.0	14.999999999999998	36.0	52.0	0.0	17.0	0.0	20.0	39.2490827580872	0.0	24.0	0.0	0.0	0.0	99.0	80.99999999999997	73.0	244.71575497732923	0.0	0.0	0.0	13.825087523767149	25.0	0.0	0.0	27.0	16.0	581.0	0.0	0.0	0.0	0.0	12.0	0.0	546.72376249996	597.3614468404647	212.20323461465892	0.0	18.001463816454066	53.99853618354593	20.0	0.0	0.0	0.0	135.00000000000057	0.0	0.0	0.0	0.0	0.0	265.0	0.0
SRR26464292	0.0	0.0	0.0	190.36876218861903	0.0	50.93115499224374	0.0	23.000000000000004	0.0	0.0	75.99999900791803	0.0	15.933217240358855	176.99999999998832	18.0	56.84541362807119	30.716533855682936	0.0	22.952466682710853	0.0	0.0	91.87378142685314	0.0	87.0	0.0	0.0	11.0	76.0	122.00000000005093	112.999999999949	726.8110058895512	0.0	28.111438220111623	29.99622727895133	24.157220654338943	0.0	32.00000000000001	19.366833377739542	0.0	83.63317921127283	261.9999999469893	44.082532398586594	14.283466144317064	0.0	12.0	0.0	30.0000000026352	762.0464629344607	580.7782015000812	404.244167474506	0.0	15.000000000000002	49.0	30.00000000000006	13.0	0.0	0.0	582.0027253841544	0.0	15.00000000004733	17.999332818188254	93.0	0.0	613.0499222667206	20.815955474901404
SRR26464293	14.000000000000002	30.0	0.0	114.97325745893447	0.0	27.668383145932427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	14.000000000000002	50.00000000000001	0.0	0.0	73.99999920607532	0.0	0.0	43.86332515858974	0.0	29.0	0.0	13.0	12.0	92.0	203.00000121159795	79.0	368.62494335380416	17.0	0.0	40.13667313047047	0.0	815.00337898243	0.0	0.0	47.00000000000001	0.0	318.00000004676707	0.0	0.0	11.000000000000002	0.0	0.0	15.0	838.4092455860404	371.00457965361335	520.9177920668583	0.0	20.000000000157694	101.99999992737031	19.00000000000042	0.0	117.0	0.0	601.0000007938976	0.0	0.0	0.0	46.0	0.0	290.99662109019835	77.40179918726291
SRR26464294	11.0	0.0	0.0	634.0021169928135	0.0	0.0	30.93404624172216	48.0	34.615049312863896	0.0	29.0	38.0	0.0	55.99999999999999	48.0	98.0	0.0	12.0	0.0	23.065981540740225	0.0	50.98629183184993	0.0	24.0	50.38495068713611	0.0	21.0	201.99999999999997	203.0	272.95200183861635	3881.0458811685703	44.00000000000001	22.01799918474138	21.995708983408687	0.0	0.0	0.0	0.0	77.0	0.0	527.999972217538	0.0	0.0	62.00000000000001	56.0	0.0	76.0	1346.0	540.0000000000001	414.0	54.0	17.0	174.00000000000003	34.0	0.0	0.0	38.0	643.9999999999999	18.0	0.0	0.0	89.0	0.0	539.9999999999998	0.0
SRR26464295	10.0	0.0	20.0489038324884	70.94804928419678	0.0	45.880404613349626	0.0	0.0	0.0	0.0	0.0	0.0	20.965160397094763	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	90.25643938519993	0.0	0.0	0.0	0.0	0.0	66.0	310.21467165254575	249.0008310722382	1342.7618530672742	10.0	36.57784069855205	0.0	18.833368133427747	0.0	13.0	0.0	39.0	0.0	887.5093053855858	0.0	0.0	0.0	0.0	0.0	0.0	1424.0730651076922	519.6644311754758	842.3763881044279	0.0	0.0	0.0	56.0000449215956	0.0	0.0	11.0	769.3925072338344	0.0	0.0	0.0	0.0	31.0	642.9397995256023	46.55693640942021
SRR26464296	0.0	27.000000000000004	0.0	211.8261124193426	0.0	26.348810085461206	0.0	15.0	0.0	45.00016020183841	62.00000256443581	0.0	0.0	32.0	0.0	47.0	54.00000000000001	0.0	23.0	0.0	10.0	0.0	0.0	77.0	0.0	0.0	0.0	27.000000000000004	44.0	42.0	162.25623634730294	0.0	0.0	0.0	0.0	0.0	21.0	39.403397650503365	28.0	176.59425429344995	163.00000000000006	13.0	0.0	11.0	0.0	0.0	18.0	287.00199462506396	436.02187231129545	133.62951799051768	0.0	17.00000668883591	36.99998358859824	34.0	0.0	0.0	0.0	44.0	0.0	0.0	12.0	0.0	0.0	70.00000000000001	14.91765123335448
