sample_id	PC1	PC2	variance_explained_pc1	variance_explained_pc2	sample_name	group
SRR26464278	-0.020219335797748327	0.07727544689186848	0.356656685421179	0.20678310832098706	APW61	Active
SRR26464279	-0.0435430917618749	0.03435798604331546	0.356656685421179	0.20678310832098706	APW60	Active
SRR26464280	0.10764821780053291	0.019624055247049174	0.356656685421179	0.20678310832098706	APW59	Active
SRR26464291	-0.016414501330569493	-0.28152178442433196	0.356656685421179	0.20678310832098706	LPW48	Latent
SRR26464292	0.13959587230575093	0.03467527781398414	0.356656685421179	0.20678310832098706	LPW47	Latent
SRR26464293	0.23085925870147853	-0.011808238796970611	0.356656685421179	0.20678310832098706	LPW46	Latent
SRR26464294	0.007246380028677363	0.09422420586599503	0.356656685421179	0.20678310832098706	CPW44	Control
SRR26464295	-0.19499912453288268	0.03293739635409718	0.356656685421179	0.20678310832098706	CPW43	Control
SRR26464296	-0.21017367541336476	0.00023565500499326706	0.356656685421179	0.20678310832098706	CPW42	Control
