sample_id	PC1	PC2	variance_explained_pc1	variance_explained_pc2	sample_name	group
SRR26464278	-1.9891996220766584e-18	-0.0	0.12500000000000014	0.12500000000000006	APW61	Active
SRR26464279	-0.06183284345975544	0.038522350630530056	0.12500000000000014	0.12500000000000006	APW60	Active
SRR26464280	0.2966367114200047	-0.14987267333814616	0.12500000000000014	0.12500000000000006	APW59	Active
SRR26464291	0.43656817906466333	-0.06981886960607528	0.12500000000000014	0.12500000000000006	LPW48	Latent
SRR26464292	-0.4423024803875548	-0.1302083232917553	0.12500000000000014	0.12500000000000006	LPW47	Latent
SRR26464293	-0.054842367201493256	-0.20639850788391653	0.12500000000000014	0.12500000000000006	LPW46	Latent
SRR26464294	-0.13480682192073898	-0.16709677243693316	0.12500000000000014	0.12500000000000006	CPW44	Control
SRR26464295	-0.020840281770883175	0.6155465218741426	0.12500000000000014	0.12500000000000006	CPW43	Control
SRR26464296	-0.01858009574424183	0.06932627405215365	0.12500000000000014	0.12500000000000006	CPW42	Control
