feature_id	reason	total_reads	taxon
cohort_feature_000299	removed_offtarget_pattern	17	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000303	removed_offtarget_pattern	41	d__Eukaryota
cohort_feature_000305	removed_offtarget_pattern	25	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000309	removed_offtarget_pattern	18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000310	removed_offtarget_pattern	15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000312	removed_offtarget_pattern	41	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000313	removed_offtarget_pattern	15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000315	removed_offtarget_pattern	19	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000318	removed_offtarget_pattern	66	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000319	removed_offtarget_pattern	21	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000321	removed_offtarget_pattern	31	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000322	removed_offtarget_pattern	18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000325	removed_offtarget_pattern	21	d__Eukaryota
cohort_feature_000326	removed_domain_unclassified	19	Unassigned
cohort_feature_000327	removed_offtarget_pattern	42	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000328	removed_domain_unclassified	43	Unassigned
cohort_feature_000329	removed_domain_unclassified	33	Unassigned
cohort_feature_000330	removed_domain_unclassified	46	Unassigned
cohort_feature_000332	removed_offtarget_pattern	27	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000335	removed_domain_unclassified	16	Unassigned
cohort_feature_000336	removed_domain_unclassified	18	Unassigned
cohort_feature_000338	removed_domain_unclassified	18	Unassigned
cohort_feature_000341	removed_domain_unclassified	30	Unassigned
cohort_feature_000344	removed_offtarget_pattern	19	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000346	removed_domain_unclassified	18	Unassigned
cohort_feature_000348	removed_offtarget_pattern	17	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000350	removed_domain_unclassified	16	Unassigned
cohort_feature_000351	removed_domain_unclassified	21	Unassigned
cohort_feature_000352	removed_domain_unclassified	20	Unassigned
cohort_feature_000357	removed_domain_unclassified	15	Unassigned
cohort_feature_000358	removed_domain_unclassified	23	Unassigned
