sample_id	sample_name	group	subject
SRR23380927	Subject_1_Saliva	saliva	1
SRR23380926	Subject_3_Saliva	saliva	3
SRR23380925	Subject_4_Saliva	saliva	4
SRR23380923	Subject_5_Saliva	saliva	5
SRR23381000	Subject_8_Saliva	saliva	8
SRR23380961	Subject_1_Feces	feces	1
SRR23380960	Subject_3_Feces	feces	3
SRR23380959	Subject_4_Feces	feces	4
SRR23380958	Subject_5_Feces	feces	5
SRR23380956	Subject_8_Feces	feces	8
