contrast	feature_id	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.feces	rab.win.saliva	diff.btw	diff.win	effect	overlap	significant	status	detail
feces_vs_saliva	Lachnospiraceae	8.06621491109064e-05	0.000940726156336701	0	0	8.81527193395312	11.6212033282993	5.09118103206913	-6.87521782141131	1.85242323686091	-3.90891957335031	0.000219271997703997	yes	ok	
feces_vs_saliva	Ruminococcaceae	0.000168394818101276	0.00124078557875349	0	0	4.3921350477196	11.2468199375512	-6.33733450315805	-18.1364571791107	3.1875166113135	-5.88909835372609	0.000219271997703997	yes	ok	
feces_vs_saliva	Bacteroidaceae	0.000210418362957128	0.0016280101525149	0	0	1.04202319563049	8.82378004956874	-6.04725969029483	-14.272323382675	4.03090761793739	-3.74816749457124	0.000219271997703997	yes	ok	
feces_vs_saliva	Bifidobacteriaceae	0.000252952335452574	0.00174726711621826	0	0	2.59667898726993	9.68575138191092	-6.2642439742501	-15.7417179167399	3.25114336506343	-5.11797656271248	0.000219271997703997	yes	ok	
feces_vs_saliva	Erysipelatoclostridiaceae	0.000308381671359719	0.00231645529258411	0	0	1.68893704213376	8.05466164456124	-6.02787005971447	-15.5655644587733	4.85132766369213	-3.11665811002549	0.000219271997703997	yes	ok	
feces_vs_saliva	Monoglobaceae	0.000410174399128676	0.00280612055780272	0	0	0.720378898250318	5.61496654736049	-6.1884415006632	-12.2295126167525	3.4399170848692	-3.64176961747863	0.000219271997703997	yes	ok	
feces_vs_saliva	Coriobacteriaceae	0.000580238707315793	0.00357051121010532	0	0	2.1184769361571	7.1613709161917	-6.23817373850253	-14.4460969597934	3.40535180217239	-4.36525010002289	0.000219271997703997	yes	ok	
feces_vs_saliva	Oscillospiraceae	0.000566075507027336	0.00373959546980821	0	0	-0.572995019183281	8.31853304045656	-6.10201337179549	-14.0084936029505	4.05138700589351	-3.18719006013579	0.000219271997703997	yes	ok	
feces_vs_saliva	Acidaminococcaceae	0.000593624156382857	0.00394165814148616	0	0	-0.17495292355585	8.12453501045469	-6.33354847101978	-13.5632638887757	5.03201322506128	-2.75728688743271	0.000219271997703997	yes	ok	
feces_vs_saliva	Desulfovibrionaceae	0.000696029693267177	0.00440994045543137	0	0	-0.502376184807311	5.58520420963771	-6.27334873199056	-11.6976764487651	4.53597034977559	-2.7111082574144	0.000219271997703997	yes	ok	
feces_vs_saliva	Porphyromonadaceae	0.000898980182930057	0.00572282399194789	0.00793650793650794	0.0358249131407614	3.05680837528345	-4.76429827118479	8.13433222481939	12.8357965717284	2.75078809049072	4.81248464361553	0.000219271997703997	yes	ok	
feces_vs_saliva	Neisseriaceae	0.00111769191116589	0.00636137984411369	0.00793650793650794	0.0358249131407614	1.98087468133094	-4.87828264029455	5.42911404438281	11.0129934596715	3.85199241633108	2.98426893377362	0.000219271997703997	yes	ok	
feces_vs_saliva	Fusobacteriaceae	0.000978020951153418	0.00647485585305484	0.00793650793650794	0.0358249131407614	3.77987690428729	-4.6809875627935	7.81726842708158	12.4326581651468	2.72900700818401	4.60893067391806	0.000219271997703997	yes	ok	
feces_vs_saliva	Leptotrichiaceae	0.00168405147920548	0.00823060890331381	0.00793650793650794	0.0358249131407614	1.94997141169584	-4.49521121365528	4.65971046557948	9.49398031467121	2.70531433075429	3.56758964541767	0.000219271997703997	yes	ok	
feces_vs_saliva	Spirochaetaceae	0.00134567177733534	0.0082906858811858	0.00812251984126984	0.0363713533077372	-0.341351305385059	-4.50023483366218	6.51929565487183	10.4203422259633	4.08087099978412	2.61501982130899	0.000219271997703997	yes	ok	
feces_vs_saliva	Campylobacteraceae	0.00190111383193333	0.0101040938908572	0.00793650793650794	0.0358249131407614	2.03133945890462	-4.70704920222379	5.47434863963049	9.86871766344902	2.84904924918851	3.46760799950978	0.000219271997703997	yes	ok	
feces_vs_saliva	Pasteurellaceae	0.00195336703282074	0.0101453462266417	0.00793650793650794	0.0358249131407614	2.45912078750139	-4.77339267410011	4.77756727282888	10.3499034390428	3.02698207664126	3.38213453780435	0.000219271997703997	yes	ok	
feces_vs_saliva	Family XI	0.00267803178261017	0.012762522001931	0.00793650793650794	0.0358249131407614	1.81572190541118	-2.74124970087428	5.43922934809386	8.09982658609063	2.29588216145126	3.58486147106816	0.000219271997703997	yes	ok	
feces_vs_saliva	Flavobacteriaceae	0.00292353029777127	0.01493526329107	0.00948660714285714	0.0411035913005451	-1.16724127076627	-4.73599080297689	4.63984502081897	8.90952698403986	4.38024180192997	2.20219830857216	0.0155827015926455	yes	ok	
feces_vs_saliva	Paludibacteraceae	0.00312912460928939	0.0153989523084153	0.00793650793650794	0.0358249131407614	1.20694354369586	-4.37538030738869	3.88470846669543	8.19155350914126	2.60889858437953	3.0297339269454	0.000219271997703997	yes	ok	
