contrast	feature_id	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.feces	rab.win.saliva	diff.btw	diff.win	effect	overlap	significant	status	detail
feces_vs_saliva	ko:K09516	4.02707604647757e-06	0.00229908218986372	0.00793650793650794	0.0729244871215808	2.40187512024076	-0.0958376404402976	4.39612558870727	4.32942305651691	0.827306020224165	5.14128329561018	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K13671	6.25392869897233e-06	0.00246973721900182	0.00793650793650794	0.0729244871215808	-0.189054636332964	-4.94327617661134	3.65279257107986	8.57384416451984	1.58786842938996	5.28628864974271	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K04756	7.02546941772775e-06	0.00253925836910176	0.00793650793650794	0.0729244871215808	-1.27202963640388	-5.89314276942811	2.17284596893744	8.34818807745102	1.49117991753922	5.60484690995216	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K01505	7.35189628830658e-06	0.00260917050828228	0.00793650793650794	0.0729244871215808	-0.349182590297401	-3.89319264335647	3.53885672194257	7.39376068255884	1.37993364829065	5.24437998759459	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K14337	8.14837555933212e-06	0.00262824030286815	0.00793650793650794	0.0729244871215808	-1.11350664998769	-5.51112817615567	2.50138861141829	8.1282426202409	1.51009930068269	5.16818074100134	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K07004	8.5595662102224e-06	0.0026922908789771	0.00793650793650794	0.0729244871215808	4.17599104448375	2.07583309246434	5.83335215146864	3.80938325262436	0.862630239017673	4.47315545158154	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K00819	9.52202615155784e-06	0.00279408392402363	0.00793650793650794	0.0729244871215808	3.23531844598348	0.859416345897708	5.69805727895376	4.81273209796389	0.94099455224512	5.17727233353151	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K14339	1.0437510226608e-05	0.00281159274984576	0.00793650793650794	0.0729244871215808	-1.00118820365405	-5.51704895225431	2.49847439736691	8.10523907557787	1.51242052974135	5.05686152874837	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K04561	1.049222227525e-05	0.00288168351820099	0.00793650793650794	0.0729244871215808	1.76186904268427	-3.36578657341649	5.45757181194817	8.26285158193732	1.58996069530999	4.84146288457605	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K15525	1.21719540461069e-05	0.00294436822219292	0.00793650793650794	0.0729244871215808	-1.23021161470128	-5.70794755283147	2.12253381356572	8.08474207840574	1.5164860766863	5.12831091755266	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K18455	1.37029020638143e-05	0.00296741452219006	0.00793650793650794	0.0729244871215808	-1.13921959799218	-5.67626139379566	2.29640724481542	8.16781664617452	1.52884044721095	4.93277033932436	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K05602	1.66432562398992e-05	0.00310006967030418	0.00793650793650794	0.0729244871215808	-1.23698017376085	-5.26850396028114	2.18247552976028	7.79727165455568	1.48746460644809	5.02901758982733	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K18917	1.79794094679229e-05	0.00315215999060271	0.00793650793650794	0.0729244871215808	-1.10965237911488	-5.71062724001862	2.1045418004421	8.0214491126583	1.54404101715719	4.9393460533953	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K21420	1.99023643468422e-05	0.00350581865413196	0.00793650793650794	0.0729244871215808	-1.66472834680764	-5.09406241968412	3.1437761470259	7.86217753164165	1.40848599297152	5.3596500383834	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K03839	1.84306103019532e-05	0.00369217613267976	0.00793650793650794	0.0729244871215808	6.28564194699643	5.07952799232756	7.3485671343471	2.29599526777795	0.555528409766469	4.23397809436669	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K07018	2.76665537669823e-05	0.00375477611984384	0.00793650793650794	0.0729244871215808	0.411442364525268	-3.62405868125287	3.45609073745287	7.45885715136437	2.04239072647802	3.93668755208979	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K07152	2.84722412706077e-05	0.0044175338815425	0.00793650793650794	0.0729244871215808	2.10603742330543	-1.49125165858813	4.8112960015626	6.22559255273916	1.71604819099654	3.70974297556062	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K17218	3.01378132404213e-05	0.00452716466526012	0.00793650793650794	0.0729244871215808	3.48702952328855	1.46448878446124	4.80882304803313	3.42090648043392	0.941322105801936	3.66086882663767	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K15497	3.4814213563293e-05	0.00466502640101456	0.00793650793650794	0.0729244871215808	1.78945900525853	-0.545177989439466	2.98881709977696	3.57622751866773	1.0317692008454	3.53678814268062	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K00639	3.60322444002406e-05	0.00486138807685958	0.00793650793650794	0.0729244871215808	7.38636597979639	6.73467116363478	8.12555081771228	1.35929395385969	0.303238547227313	4.09845181828073	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K08325	3.70427049518045e-05	0.00493107201096157	0.00793650793650794	0.0729244871215808	5.44739093083264	4.42799691957642	6.17498914934319	1.74774802386353	0.417730632883308	4.27290886027873	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K00166	5.46618887355442e-05	0.00494740301939899	0.00793650793650794	0.0729244871215808	-0.672087429920152	-4.60729608312804	2.39693942023454	7.57959914943358	1.65470619481376	4.11724183378783	0.000219271997703997	yes	ok	
feces_vs_saliva	ko:K19141	3.72317232393312e-05	0.00495208798673865	0.00793650793650794	0.0729244871215808	1.25053312874601	-1.5960482645198	4.78823972535746	5.86856743970151	1.47395403944589	4.06680241240143	0.000219271997703997	yes	ok	
