contrast	feature_id	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.feces	rab.win.saliva	diff.btw	diff.win	effect	overlap	significant	status	detail
feces_vs_saliva	Faecalibacterium	0.000196270955541505	0.00184342329345419	0	0	3.26560062152931	11.0003942422225	-3.86628572677334	-14.6415192835999	4.11120558943598	-3.57911304968201	0.000219271997703997	yes	ok	
feces_vs_saliva	Agathobacter	0.000286748997870949	0.00226803822380971	0	0	4.58041059586966	10.2291369326671	-3.6660660432554	-13.8504595724366	2.85504923475808	-5.01701463110465	0.000219271997703997	yes	ok	
feces_vs_saliva	Porphyromonas	0.000289327967461694	0.00277654879944929	0.00793650793650794	0.037449715851304	4.29239940285842	-3.91281825111747	10.6430921038344	14.4276007908648	2.66204863507604	5.39125517882157	0.000219271997703997	yes	ok	
feces_vs_saliva	Bifidobacterium	0.000443123632582225	0.00313595236704572	0	0	3.68513731206734	10.3596975615254	-3.80411899051787	-13.8389976699432	3.49640739000038	-4.07467350942207	0.000219271997703997	yes	ok	
feces_vs_saliva	Bacteroides	0.000368098492375438	0.00316199089581518	0	0	2.20029940955792	9.67229456016561	-3.81437567551347	-12.6882773242811	4.47163877834915	-3.01230839374168	0.000219271997703997	yes	ok	
feces_vs_saliva	Mediterraneibacter	0.000431887962676758	0.00317826559394986	0	0	3.86003036494716	8.92694392440532	-3.76330776744081	-12.9945292549995	3.02604234697281	-4.48313250339205	0.000219271997703997	yes	ok	
feces_vs_saliva	Ruminococcaceae (f)	0.000462639789477829	0.00326914814119609	0	0	3.87231763323596	9.81916351897645	-3.82478784378997	-13.2570852431268	3.51385015040126	-3.84613504427836	0.000219271997703997	yes	ok	
feces_vs_saliva	Fusobacterium	0.000409574900165765	0.00368416066319086	0.00793650793650794	0.037449715851304	4.87689904084394	-4.12939138223553	10.2534606414771	14.3508073013451	2.51638693018076	6.02343556405216	0.000219271997703997	yes	ok	
feces_vs_saliva	Dorea	0.000544730147020906	0.0037150643359456	0	0	4.35910099146724	9.1704375522432	-3.8403807913933	-13.703924591622	3.29412334872733	-4.1747530952634	0.000219271997703997	yes	ok	
feces_vs_saliva	Gemmiger	0.000565677691033915	0.00377064791171236	0	0	3.56185999904708	9.65978964514247	-3.88685803264632	-13.3924107969674	3.58085082804034	-3.77359078387426	0.000219271997703997	yes	ok	
feces_vs_saliva	Blautia	0.000490681296744407	0.00378723285436757	0	0	2.10089103484319	8.57316010068534	-3.68920853910563	-12.2887901348419	3.86798646289008	-3.00346358836609	0.000219271997703997	yes	ok	
feces_vs_saliva	Collinsella	0.000589168775465082	0.00387730596262984	0	0	3.61005683217541	8.22515161768602	-4.17368221710776	-12.78270113395	2.9527529023442	-4.28913237215267	0.000219271997703997	yes	ok	
feces_vs_saliva	Neisseria	0.000572582203519775	0.00393540707348502	0.00793650793650794	0.037449715851304	3.02437349179969	-3.92277810324341	7.32693380266159	12.2233380691792	3.68622816132033	3.48681959204795	0.000219271997703997	yes	ok	
feces_vs_saliva	Coprococcus	0.000644978348124605	0.00421182980574392	0	0	4.29583007824987	8.53378421710256	-3.94351781520378	-13.1221828361142	3.10747638793896	-4.38565347583897	0.000219271997703997	yes	ok	
feces_vs_saliva	Tannerella	0.000687584587358177	0.00499307807721032	0.00793650793650794	0.037449715851304	2.68242335476163	-4.11574471442401	7.78523164061194	11.7000228331104	2.88226103840304	4.06989631273239	0.000219271997703997	yes	ok	
feces_vs_saliva	Treponema	0.000600755172564559	0.00526545541189149	0.00793650793650794	0.037449715851304	0.987016458763843	-3.97134399438444	8.98462748361185	12.3489705188351	4.19216039277968	3.0178964475473	0.000219271997703997	yes	ok	
feces_vs_saliva	Prevotella	0.000720496664667207	0.00547291646675717	0.00793650793650794	0.037449715851304	3.51032882572652	-3.38234217663785	7.3307914019494	11.1196682782749	3.37760781971771	3.35265722481731	0.000219271997703997	yes	ok	
feces_vs_saliva	Monoglobus	0.000970272740901664	0.00597995293347439	0	0	3.09216664484801	6.11986779041475	-3.79436346813532	-10.6288979000619	3.38546218712697	-3.1561724127073	0.000219271997703997	yes	ok	
feces_vs_saliva	Romboutsia	0.00115125951082487	0.00698209681705229	0	0	2.9346174891534	5.96033495107681	-3.9340499696988	-10.6418348117251	3.67557667551386	-3.09513208593664	0.000219271997703997	yes	ok	
