contrast	feature_id	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.feces	rab.win.saliva	diff.btw	diff.win	effect	overlap	significant	status	detail
feces_vs_saliva	DENITRIFICATION-PWY	7.56671846794619e-05	0.00982226236153977	0.00793650793650794	0.118978967323799	-0.136448187016442	-2.68471659052713	3.16561006000143	5.90745856679027	1.07834359950128	5.57214942972711	0.000219271997703997	yes	ok	
feces_vs_saliva	PWY6666-2	9.02988847341182e-05	0.0107399295885915	0.00793650793650794	0.118978967323799	-0.318822311337931	-2.88779119146546	1.026261978254	3.86399067228493	1.11390523138719	3.51855037852595	0.000219271997703997	yes	ok	
feces_vs_saliva	PWY-6922	9.80916607942203e-05	0.0108933257363714	0.00793650793650794	0.118978967323799	1.6076497337425	0.26015080509494	2.76826223524455	2.5715063786696	0.772806734228515	3.51296683573331	0.000219271997703997	yes	ok	
feces_vs_saliva	METHYLGALLATE-DEGRADATION-PWY	0.0011366169065904	0.0403298901830388	0.00793650793650794	0.118978967323799	-4.88897422238069	-11.8810859525709	-1.98647068510451	10.3656304574791	3.39384063723266	3.14461081980003	0.000219271997703997	yes	ok	
feces_vs_saliva	HISDEG-PWY	0.000714348987176385	0.0405067443851799	0.00793650793650794	0.118978967323799	3.77919591623526	2.38036474764707	4.71011874772647	2.23563229175811	0.806445420570748	2.6770041911619	0.000219271997703997	yes	ok	
feces_vs_saliva	P184-PWY	0.00138776644742494	0.042053873281764	0.00793650793650794	0.118978967323799	-4.88873564514241	-11.7669398910873	-1.87808287981281	10.6413742929951	3.54542661059436	3.14401921090727	0.000219271997703997	yes	ok	
feces_vs_saliva	PWY-6948	0.00172004374551885	0.0449338014413951	0.00793650793650794	0.118978967323799	-3.23558577280361	-8.53256870166783	0.450448665847134	9.39079939006882	2.36454500820203	4.20723027849637	0.000219271997703997	yes	ok	
feces_vs_saliva	GALLATE-DEGRADATION-I-PWY	0.00143338455301489	0.0461035933503544	0.00793650793650794	0.118978967323799	-4.64182007752617	-10.8741173638672	-1.85732217156605	9.59359886562048	3.44469127101274	2.78574963795916	0.000219271997703997	yes	ok	
feces_vs_saliva	PWY-3661	0.00228715865474376	0.0538000510565943	0.00793650793650794	0.118978967323799	-4.22781982211437	-8.82133774049077	-0.251774022304302	8.21830820782379	2.58260142745014	3.11439606957481	0.000219271997703997	no	ok	
feces_vs_saliva	P221-PWY	0.000324739237417311	0.0637177788644175	0	0	2.98163924038907	4.87790561219087	1.44015132890774	-3.37985752182347	0.895238981978856	-3.82230732809334	0.000219271997703997	no	ok	
