sample_id	Acholeplasmataceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Akkermansiaceae	Anaerolineaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Coriobacteriaceae	Coriobacteriales Incertae Sedis	Defluviitaleaceae	Desulfobulbaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelatoclostridiaceae	Erysipelotrichaceae	Family XI	Flavobacteriaceae	Fusobacteriaceae	Gemellaceae	Hafniaceae	Incertae Sedis	Lachnospiraceae	Lactobacillales (o)	Lentimicrobiaceae	Leptotrichiaceae	Micrococcaceae	Monoglobaceae	Mycoplasmataceae	Neisseriaceae	Oscillospiraceae	Paludibacteraceae	Pasteurellaceae	Peptostreptococcaceae	Peptostreptococcales-Tissierellales (o)	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Selenomonadaceae	Spirochaetaceae	Streptococcaceae	Succinivibrionaceae	Synergistaceae	Syntrophomonadaceae	Tannerellaceae	Veillonellaceae	Weeksellaceae	[Eubacterium] coprostanoligenes group
SRR23380923	0.0	0.0	0.004074266495310492	0.0	0.0	0.001339859451477947	0.025402641437204342	0.008148532990620985	0.0	0.0	0.0	0.0	0.014765798036695742	0.025785458423340898	0.0	0.0	0.0	0.010199338273495392	0.0031719121708457523	0.0	0.0	0.0	0.0	0.006699297257389735	0.030078477482157993	0.012386863908561429	0.08602444559897186	0.03376992699133193	0.0	0.00842197369500424	0.01400016406442263	0.0	0.002734407043832545	0.015093926881955648	0.047387274069618006	0.0	0.006371168412129829	0.02089086981488064	0.0	0.009050887315085724	0.026769844959120614	0.038144978261464	0.004648491974515326	0.11602089086981487	0.1033605862568702	0.0014765798036695742	0.0	0.006918049820896339	0.0020234612124360833	0.05947335320335785	0.1471110989581909	0.0	0.013207186021711191	0.0	0.024308878619671324	0.07073911022394794	0.0	0.0
SRR23380925	0.0	0.0	0.0021450172304662775	0.0017230466277516	0.0	0.0	0.013995358323370139	0.0034460932555032	0.0	0.0	0.0	0.004501019762289894	0.029748927491384768	0.009705323862437583	0.0	0.0	0.0	0.0027779731345382937	0.0017933750615373796	0.0	0.0	0.0	0.0	0.01023278711583093	0.022962233631057035	0.031612630986707926	0.18246712145720514	0.04458822702018426	0.0	0.024439130740558406	0.0275687460440256	0.0018285392784302694	0.0	0.012553625430761658	0.021133694352626766	0.0	0.0022856740980378367	0.019656797243125395	0.0	0.01012729446515226	0.01371404458822702	0.059462690765876645	0.004008720725789437	0.05819677895773261	0.028377523032562066	0.0014065686757155917	0.0	0.02742808917645404	0.004465855545397004	0.04152894015050285	0.1685420915676208	0.0	0.017863422181588016	0.0	0.02943244953934876	0.06361206835923763	0.0006681201209649061	0.0
SRR23380926	0.0003095879384539178	0.0	0.0	0.008885173833627441	0.0	0.0	0.004210395962973282	0.0028172502399306525	0.0	0.0	0.0	0.0015479396922695892	0.002414785919940559	0.04318751741432154	0.0	0.0	0.0	0.0	0.00012383517538156713	0.0	0.0	0.0	0.0	0.011950094424321229	0.010185443175133898	0.01198105321816662	0.03439521996223027	0.050462833967988605	0.0	0.009597226092071453	0.020401845144113185	0.01492213863347884	0.0	0.006377511532150708	0.038574657131358166	0.0	0.0	0.19826011578588898	0.0	0.0014860221045788055	0.03420946719915792	0.0014860221045788055	0.00012383517538156713	0.12120367790470883	0.08937803783164608	0.0	0.0	0.006129841181387573	0.0	0.0003405467322993096	0.21120089161326275	0.0	0.0	0.0	0.00173369245534194	0.05055571034952478	0.011547630104331135	0.0
SRR23380927	0.0029773719730051607	0.0	0.0	0.0	0.0	0.0016729994895933761	0.022798162536153802	0.0	0.0	0.0	0.0	0.003941473373787785	0.03618215845290081	0.005075710315884988	0.0	0.0	0.0	0.012561674133726535	0.0023251857312992685	0.0	0.0	0.0001984914648670107	0.0	0.0024102535019565586	0.009215675154539783	0.009839505472693246	0.14773436170816084	0.023421992854307266	0.0	0.010208132478874837	0.009952929166902966	0.001105881018544774	0.01400782623490047	0.007344184200079397	0.032495888391084894	0.0	0.0007939658594680428	0.04593659615493677	0.0	0.007996370441785288	0.012590030057278965	0.09244031078092213	0.00845006521862417	0.1672999489593376	0.031191515907673113	0.010605115408608859	0.0	0.005926388022457892	0.010094708784665117	0.05983099869562752	0.10488856122043895	0.0	0.02174899336471389	0.009187319230987354	0.03258095616174219	0.022968298077468384	0.0	0.0
SRR23380956	0.0	0.056538370817052784	0.0	0.0	0.0	0.0	0.00013332102677701547	8.204370878585566e-05	0.03957583402557713	0.0	0.06791167994749203	0.0	0.0	5.127731799115979e-05	0.07839276374488509	0.009701668563927433	0.0	0.0	0.0	0.0001743428811699433	0.002399778481986278	0.0005640504979027577	0.01697279225507389	0.02503358664328421	2.0510927196463916e-05	0.0	0.0	8.204370878585566e-05	0.0	0.11901465505748188	0.17328656841932538	0.0	0.0	0.0	0.0	0.0009332471874391082	0.0	0.0	0.09496559291962793	0.0	0.0	0.003127916397460747	0.0	0.0	0.07472130777671805	0.0009024807966444123	0.12632680060302126	0.0002974084443487268	0.014019218738783087	0.0	0.0009024807966444123	0.06962434236839676	0.0	0.0	0.006512219384877294	0.0	0.0	0.017731696561343057
SRR23380958	0.0	0.011537834998848463	0.00044376288457109476	0.0	0.0	0.0	2.2469006813726315e-05	0.00022469006813726316	0.000494318149901979	0.0	0.010397532903051853	0.0	0.0	0.001095364082169158	0.0	0.030709515062660443	0.0	0.0	0.0	0.00011796228577206317	0.01604848811670402	0.0	0.11124405273475899	0.0004269111294608	0.0	0.0	0.0	0.0006122804356740421	0.0	0.010229015351948905	0.374367357026901	0.0	0.0	0.0	2.8086258517157895e-05	0.014705964959583874	0.0	0.0	0.0054431169006252	0.0	0.0	0.018368413070221263	0.0	0.0	0.0	0.0	0.365048336450908	0.00020222106132353684	0.0	0.0	0.027473978081483854	0.0	0.0	0.0	0.0	0.0007583289799632632	0.0	0.0
SRR23380959	0.0	0.00020083086598269412	0.00022378296495214486	0.0	3.4428148454176133e-05	0.0	0.0011361288989878125	2.8690123711813446e-05	0.0395235144253942	0.006673322775367807	0.1424694163281232	0.0	0.0	4.0166173196538825e-05	0.06854070554752233	0.00883655810323854	0.006943009938258853	0.0	0.0	0.013662236911565562	0.0	0.02558585232619523	0.017420643117813123	0.00033280543505703595	2.2952098969450758e-05	0.0	0.0	6.885629690835227e-05	0.0	0.023061121439555646	0.13467717872799467	0.0	0.0	0.0	4.5904197938901516e-05	0.0014402442103330349	0.0	0.0	0.02223484587665542	0.0	0.0	0.0015951708783768276	0.0	0.0	2.2952098969450758e-05	0.0025935871835479356	0.2268241180655971	0.0006483967958869839	0.0	0.0	0.0035518373155225044	0.0	0.0	0.0	0.0016640271752851798	0.15084119442723037	0.0	0.0990555211274071
SRR23380960	0.0	0.00037069644594782446	0.0	0.00015960541422753555	0.29830251919126394	0.0	0.005817874776681134	0.0	0.0013489231783101391	0.0	0.030556713981949143	0.0	0.0	0.0006281245334115915	0.0	0.012711798958960815	0.0	0.0	0.0	0.004221820634405779	0.003423793563268101	0.037615392140205636	0.20431552445824258	0.00020079390822173827	0.0	0.0	0.0	0.0022035844286898455	0.0	0.0001801996612246369	0.2887313428993611	2.57428087463767e-05	0.0	0.0	4.118849399420272e-05	0.003150919790556508	0.0	0.0	5.663417924202874e-05	0.0	0.0	0.0012922889990681103	0.0	0.0	0.0	7.207986448985475e-05	0.04585309093904618	0.0007465414536449243	0.0	0.0	0.05794706248809395	0.0	0.0	0.0	2.57428087463767e-05	0.0	0.0	0.0
SRR23380961	0.0	0.026828238982335564	0.0	0.0	0.0	0.0	0.00934466751070115	0.0	0.1586784831494544	0.006842708144932779	0.008982938445770784	0.0	0.0	0.0007536022186049316	0.004823054199071562	0.008952794357026587	0.0	0.0	0.0	0.004521613311629589	0.0	0.1145776813166938	0.0013564839934888768	0.0	0.0	0.0	0.0	0.000572737686139748	0.008138903960933261	0.009073370712003375	0.2929101103273648	0.0	0.0	0.0	0.0	0.00473262193283897	0.0	0.0	0.037589678664013984	0.0	0.0	0.0026828238982335565	0.0	0.0	0.0	0.024657864592753362	0.21953939832398867	0.0	0.0	0.0	0.014077289443540121	0.0	0.0	0.0	0.03879544221378188	0.0	0.0	0.0015674926146982578
SRR23381000	0.044847837693539776	0.0	0.0	0.0007786082932906211	0.0	0.0008898380494749955	0.011723616301833066	0.0	0.0	0.0	0.0	0.0005339028296849973	0.025961025093432996	0.008053034347748709	0.0	0.0	0.0	0.009120840007118705	0.00304769531945186	0.0	0.0	0.0	0.0	0.0015572165865812423	0.026606157679302366	0.0002447054636056238	0.12762502224595124	0.014637835913863678	0.0	0.01219078127780744	0.014482114255205552	0.002447054636056238	0.0013792489766862432	0.04956397935575725	0.008965118348460581	0.0	0.006406833956219968	0.007786082932906211	0.0	0.00800854244527496	0.01127869727709557	0.06053123331553657	0.007207688200747464	0.1844411817049297	0.07407901761879337	0.0026250222459512367	0.0	0.003781811710268731	0.002558284392240612	0.055548140238476595	0.14762413240790176	0.0	0.013191849083466808	0.0	0.017952482648158036	0.03232336714717921	0.0	0.0
