sample_id	Actinomycetota	Bacillota	Bacteroidota	Campylobacterota	Chloroflexota	Fusobacteriota	Patescibacteria	Pseudomonadota	Spirochaetota	Synergistota	Thermodesulfobacteriota	Verrucomicrobiota
SRR23380923	0.05961007355554948	0.41661425719832657	0.27048754477591536	0.014765798036695742	0.001339859451477947	0.1011183724809275	0.012550928331191381	0.04766071477400126	0.05947335320335785	0.013207186021711191	0.0031719121708457523	0.0
SRR23380925	0.026724804838596246	0.444159223574091	0.1616499050566144	0.029748927491384768	0.0	0.1950207468879668	0.043638793164076234	0.03787186159364231	0.04152894015050285	0.017863422181588016	0.0017933750615373796	0.0
SRR23380926	0.04139190737128882	0.4328968143401133	0.23748490758800037	0.002414785919940559	0.0	0.04077273149438098	0.010556948701278598	0.2340175226773165	0.0003405467322993096	0.0	0.00012383517538156713	0.0
SRR23380927	0.032495888391084894	0.341178472182839	0.27352123858674077	0.03618215845290081	0.0016729994895933761	0.15507854590824025	0.013298928146089718	0.06266659105087052	0.05983099869562752	0.02174899336471389	0.0023251857312992685	0.0
SRR23380956	0.08009517070219159	0.7274200330225928	0.12171184198381688	0.0	0.0	0.0	0.0004102185439292783	0.07018839286629952	0.0	0.0	0.0001743428811699433	0.0
SRR23380958	0.057852075293641836	0.940597563236211	0.000494318149901979	0.0	0.0	0.0	0.0009380810344730737	0.0	0.0	0.0	0.00011796228577206317	0.0
SRR23380959	0.15854736165622346	0.7509295600082627	0.050477403658564575	0.0	0.0	0.0	0.0007631572907342377	0.02558585232619523	0.0	0.0	0.013662236911565562	3.4428148454176133e-05
SRR23380960	0.04673349499817226	0.6107532860695365	0.0014467458515463705	0.0	0.0	0.0	0.0009267411148695612	0.037615392140205636	0.0	0.0	0.004221820634405779	0.29830251919126394
SRR23380961	0.017935732802797373	0.6258515705070236	0.2289744981009224	0.0	0.0	0.0	0.0	0.12271658527762706	0.0	0.0	0.004521613311629589	0.0
SRR23381000	0.008965118348460581	0.39177344723260366	0.2919113721302723	0.025961025093432996	0.0008898380494749955	0.1771890016017085	0.011923829862964941	0.019598683039686777	0.055548140238476595	0.013191849083466808	0.00304769531945186	0.0
