sample_id	Abiotrophia	Acholeplasma	Acutalibacter	Agathobacter	Aggregatibacter	Akkermansia	Alistipes	Alloprevotella	Anaeroglobus	Bacteroides	Barnesiella	Bergeyella	Bifidobacterium	Bilophila	Blautia	CAG-352	CAG-56	Campylobacter	Capnocytophaga	Catenibacterium	Catonella	Centipeda	Christensenellaceae R-7 group	Collinsella	Coprococcus	Defluviitaleaceae UCG-011	Desulfobulbus	Dialister	Dorea	Enterocloster	Erysipelotrichaceae UCG-003	Escherichia-Shigella	F0058	Faecalibacterium	Faecalimonas	Family XIII AD3011 group	Family XIII UCG-001	Filifactor	Flexilinea	Fretibacterium	Fusicatenibacter	Fusobacterium	Gemella	Gemmiger	Granulicatella	Haemophilus	Hafnia-Obesumbacterium	Holdemanella	Hornefia	Howardella	Hoylesella	Incertae Sedis	Kingella	Klebsiella	Lachnoanaerobaculum	Lachnospiraceae (f)	Lachnospiraceae NK4A136 group	Lachnospiraceae UCG-010	Lactobacillales (o)	Lancefieldella	Lautropia	Lentimicrobium	Leptotrichia	Mediterraneibacter	Megasphaera	Mitsuokella	Monoglobus	Mycoplasma	NK4A214 group	Negativibacillus	Neisseria	Oribacterium	Parabacteroides	Parvimonas	Pelospora	Peptostreptococcales-Tissierellales (o)	Peptostreptococcus	Phascolarctobacterium	Phocaeicola	Porphyromonas	Prevotella	Prevotellaceae (f)	Pseudoleptotrichia	Rikenellaceae RC9 gut group	Romboutsia	Roseburia	Rothia	Ruminococcaceae (f)	Ruminococcus	Ruthenibacterium	Schaalia	Segatella	Selenomonadaceae (f)	Selenomonas	Senegalimassilia	Slackia	Solobacterium	Stomatobaculum	Streptococcus	Succinivibrio	TM7x	Tannerella	Thomasclavelia	Treponema	Tyzzerella	UCG-002	UCG-005	Veillonella	Xylanibacter	[Eubacterium] brachy group	[Eubacterium] eligens group	[Eubacterium] ruminantium group	[Eubacterium] saphenum group	[Eubacterium] sulci group	[Eubacterium] ventriosum group	[Eubacterium] xylanophilum group	[Eubacterium] yurii group	[Ruminococcus] gnavus group
SRR23380923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011484509584096688	0.005660222580733368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014765798036695742	0.012386863908561429	0.0	0.0034180088047906813	0.0	0.0	0.0	0.0	0.010199338273495392	0.0031719121708457523	0.01003527385086544	0.0	0.0	0.0	0.0	0.009050887315085724	0.0	0.0	0.0	0.0	0.03467228131579667	0.001339859451477947	0.013207186021711191	0.0	0.08602444559897186	0.03376992699133193	0.0	0.025785458423340898	0.026769844959120614	0.0	0.0	0.005578190369418392	0.0	0.002625030762079243	0.012414207978999755	0.005578190369418392	0.0	0.0024062781985726396	0.0	0.0	0.0	0.0	0.008148532990620985	0.0	0.002734407043832545	0.00907823138552405	0.0	0.0	0.0	0.0	0.006371168412129829	0.0	0.0	0.015312679445462251	0.005933663285116623	0.0	0.030078477482157993	0.0	0.004648491974515326	0.003472696945667332	0.0	0.0011484509584096688	0.11602089086981487	0.08763774575483306	0.0	0.006015695496431599	0.0014765798036695742	0.0	0.0	0.047387274069618006	0.0	0.0	0.0	0.004074266495310492	0.008121188920182659	0.0020234612124360833	0.0	0.0	0.0	0.006699297257389735	0.0022422137759426867	0.1471110989581909	0.0	0.0031719121708457523	0.024308878619671324	0.0	0.05947335320335785	0.0	0.0	0.0	0.05504361379234913	0.002433622269010965	0.007191490525279593	0.0	0.0	0.011812638429356594	0.0008203221131497635	0.0	0.0	0.0	0.0
SRR23380925	0.0017230466277516	0.0	0.0	0.0	0.006399887474505943	0.0	0.0	0.001371404458822702	0.0022856740980378367	0.0	0.0	0.0006681201209649061	0.0	0.0	0.0	0.0	0.0	0.029748927491384768	0.031612630986707926	0.0	0.010971235670581616	0.0017933750615373796	0.0	0.0	0.0	0.0027779731345382937	0.0017933750615373796	0.014382164709191927	0.0	0.0	0.0	0.0	0.01012729446515226	0.0	0.0	0.0	0.0	0.04043884942682326	0.0	0.017863422181588016	0.0	0.18246712145720514	0.04458822702018426	0.0	0.009705323862437583	0.007314157113721078	0.0	0.0	0.0037274069906463184	0.0	0.0	0.035375202194247134	0.0014417328926084815	0.0	0.003938392292003657	0.0014417328926084815	0.0	0.0	0.0018285392784302694	0.0034460932555032	0.004501019762289894	0.0	0.0068921865110064	0.0	0.0021098530135733877	0.0	0.0	0.0022856740980378367	0.0	0.0	0.018215064350516914	0.009810816513116253	0.0	0.022962233631057035	0.0	0.004008720725789437	0.016456853505872424	0.0	0.0018285392784302694	0.05819677895773261	0.021168858569519656	0.0	0.005661438919755257	0.0014065686757155917	0.0	0.0	0.021133694352626766	0.0	0.0	0.0	0.0021450172304662775	0.0022856740980378367	0.0	0.0026724804838596243	0.0	0.0	0.01023278711583093	0.0014065686757155917	0.1685420915676208	0.0	0.018215064350516914	0.02943244953934876	0.0	0.04152894015050285	0.0	0.0	0.0	0.04483437653843449	0.0	0.006435051691398833	0.0	0.0	0.0	0.0038328996413249878	0.0	0.0	0.002566987833180955	0.0
SRR23380926	0.008885173833627441	0.0003095879384539178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011547630104331135	0.0	0.0	0.0	0.0	0.0	0.002414785919940559	0.01198105321816662	0.0	0.0013931457230426303	0.0	0.0	0.0	0.0	0.0	0.00012383517538156713	0.0006501346707532275	0.0	0.0	0.0	0.0	0.0014860221045788055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03439521996223027	0.050462833967988605	0.0	0.04318751741432154	0.03420946719915792	0.0	0.0	0.0	0.0	0.007894492430574905	0.04055601993746324	0.0	0.0	0.007027646202903935	0.0	0.0	0.0	0.01492213863347884	0.0028172502399306525	0.0015479396922695892	0.0	0.002105197981486641	0.0	0.0019194452184142907	0.0	0.0	0.0	0.0	0.0	0.19826011578588898	0.006563264295223058	0.0	0.010185443175133898	0.0	0.00012383517538156713	0.0009287638153617535	0.0	0.0001547939692269589	0.12120367790470883	0.0463453143865515	0.0	0.004272313550664066	0.0	0.0	0.0	0.038574657131358166	0.0	0.0	0.0	0.0	0.0054177889229435625	0.0	0.0	0.0	0.0	0.011950094424321229	0.0054177889229435625	0.21120089161326275	0.0	0.004736695458344943	0.00173369245534194	0.0	0.0003405467322993096	0.0	0.0	0.0	0.04798613046035726	0.0	0.0	0.0	0.0	0.0	0.004210395962973282	0.0	0.0	0.0005572582892170521	0.0
SRR23380927	0.0	0.0029773719730051607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03618215845290081	0.009839505472693246	0.0	0.005075710315884988	0.0014461521011739351	0.0	0.0	0.0	0.012561674133726535	0.0023251857312992685	0.015425622412521977	0.0	0.0	0.0	0.0	0.007996370441785288	0.0	0.0	0.0	0.0	0.06853626722622355	0.0016729994895933761	0.02174899336471389	0.0	0.14773436170816084	0.023421992854307266	0.0	0.005075710315884988	0.012590030057278965	0.0	0.0	0.004678727386150967	0.0	0.0001701355413145806	0.016134520501332728	0.0014177961776215052	0.0001984914648670107	0.000822321783020473	0.0025803890432711395	0.0	0.0	0.001105881018544774	0.0	0.003941473373787785	0.01400782623490047	0.007344184200079397	0.0	0.0	0.0	0.0	0.0007939658594680428	0.0	0.0	0.04451879997731526	0.0014745080247263653	0.0	0.009215675154539783	0.009187319230987354	0.00845006521862417	0.020784891963931264	0.0	0.0	0.1672999489593376	0.0070322690410026655	0.01395111438779561	0.0	0.010605115408608859	0.0	0.0	0.032495888391084894	0.0	0.0	0.0	0.0	0.009158963307434924	0.004026541144445075	0.0046220155390461065	0.0	0.0	0.0024102535019565586	0.0	0.10488856122043895	0.0	0.0	0.03258095616174219	0.0	0.05983099869562752	0.0	0.0	0.0	0.007542675664946407	0.0008790336301253332	0.0003969829297340214	0.0	0.0	0.009555946237168945	0.00816650598309987	0.0	0.0	0.0031191515907673115	0.0
SRR23380956	0.0	0.0	0.0	0.012686008471012932	0.0	0.0	0.0009024807966444123	0.0	0.0	0.03957583402557713	0.0	0.0	0.06791167994749203	0.0001743428811699433	0.006132767231742711	0.006471197530484365	0.0016101077849224174	0.0	0.0	0.016818960301100413	0.0	0.0	0.07839276374488509	0.009701668563927433	0.017567609143771343	0.0	0.0	0.0	0.019916110307766462	0.0003589412259381185	0.00015383195397347937	0.0005640504979027577	0.0	0.04564706847573045	0.00026664205355403093	0.0	0.0	0.0	0.0	0.0	0.0015690859305294896	0.0	8.204370878585566e-05	0.005496928488652329	5.127731799115979e-05	0.0	0.0	0.024807966444123107	0.0	0.004297039247659191	0.0	0.22154878011260498	0.0	0.0	0.0	0.024110594919443333	0.004604703155606149	0.0016511296393153453	0.0	8.204370878585566e-05	0.0	0.0	0.0	0.017208667917833226	0.0	0.014019218738783087	0.0009332471874391082	0.0	0.014480714600703526	0.0	0.0	5.127731799115979e-05	0.006512219384877294	2.0510927196463916e-05	0.0	0.0	0.0	0.056538370817052784	0.0	0.0	0.0	0.0	0.0	0.0	0.003127916397460747	0.013691043903639665	0.0	0.004861089745561948	0.0	0.0009435026510373402	0.0	0.05443600077941523	0.0	0.0	0.0	0.002399778481986278	0.00022562019916110308	0.0	0.0009024807966444123	0.06962434236839676	0.000246131126357567	0.0	0.0	0.0	0.0	0.06845521951819832	0.01047082833379483	0.0	0.0	0.0	0.0007999261606620927	0.045800900429703924	0.0	0.00013332102677701547	0.000482006789116902	0.000482006789116902	0.0	0.0
SRR23380958	0.0	0.0	0.0	0.06768788302635052	0.0	0.0	0.0	0.0	0.0	0.000494318149901979	0.0	0.0	0.010397532903051853	0.00011796228577206317	0.04570757711082276	0.0	0.04683102745150908	0.0	0.0	0.0	0.0	0.0	0.0	0.030709515062660443	0.05194834375333524	0.0	0.0	1.685175511029474e-05	0.028681687197721642	0.00953247614072339	0.10348101088061655	0.0	0.0	0.26284805895867386	0.0001629002993995158	0.0	0.0	0.0	0.0	0.0	0.0019548035927941894	0.0	0.0006122804356740421	0.02606966515562596	0.001095364082169158	0.0	0.0	0.0	0.0	0.006038545581188948	0.0	0.01188048735275779	0.0	0.0	0.0	0.0008369705038113053	0.009139268521483179	0.0031344264505148212	0.0	0.00022469006813726316	0.0	0.0	0.0	0.03234413530835903	0.0	0.0	0.014705964959583874	0.0	0.0	0.0019997416064216423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011537834998848463	0.0	0.0	0.0	0.0	0.0	0.0	0.018368413070221263	0.027238053509939728	2.8086258517157895e-05	0.04680855844469535	0.02724928801334659	7.302427214461053e-05	0.00044376288457109476	0.0	0.0	0.0	0.01604848811670402	0.0	0.0004269111294608	0.0	0.027473978081483854	0.0	0.00014604854428922106	0.0	0.007763041854142443	0.0	0.023137459766434675	0.0038478174168506316	0.0	0.0007414772248529684	0.0	0.0	9.549327895833685e-05	0.0	0.0	2.2469006813726315e-05	0.013913932469400021	0.005982373064154631	0.0	0.0
SRR23380959	0.0	0.0	0.0058699993114370306	0.02598751405816062	0.0	3.4428148454176133e-05	0.0025935871835479356	0.0	0.0	0.0395235144253942	0.006673322775367807	0.0	0.1424694163281232	0.013662236911565562	0.025109596272579127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06854070554752233	0.00883655810323854	0.0230840735385251	0.0	0.0	0.1505428171406275	0.016915696940485208	0.00039018568248066284	0.017420643117813123	0.02558585232619523	0.0	0.06389290550620855	0.0003557575340264867	0.0009926782804287452	0.0	0.0	0.0	0.0	0.0015435286556955633	0.0	6.885629690835227e-05	0.1241708554247286	4.0166173196538825e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.1319975211733113	0.0	0.0	0.0	0.006283137092887144	0.008406206247561339	0.001532052606210838	0.0	2.8690123711813446e-05	0.0	0.0	0.0	0.00416006793821295	0.0	0.0	0.0014402442103330349	0.0	0.001623861002088641	0.0	0.0	0.0	0.0016640271752851798	2.2952098969450758e-05	0.0	0.0	0.0	0.00020083086598269412	0.0	0.0	2.2952098969450758e-05	0.0	0.0	0.0	0.0015951708783768276	0.002840322247469531	4.5904197938901516e-05	0.02831715210355987	0.00012623654433197915	0.0030296770639675	0.00022378296495214486	0.0	0.0	0.0	0.0	0.0	0.00033280543505703595	0.0	0.0035518373155225044	0.0	0.0003787096329959375	0.0	0.0	0.0	0.0	0.017185384103376253	0.002174711377355459	0.00029837728660285983	0.0	0.0	0.006001973880511373	0.0040453074433656954	0.0	0.00014345061855906724	0.00802175858982304	0.0	0.0	0.0
SRR23380960	0.00015960541422753555	0.0	0.0	0.04104433426522301	0.0	0.29830251919126394	7.207986448985475e-05	0.0	0.0	0.0013489231783101391	0.0	0.0	0.030556713981949143	0.004221820634405779	0.007300660560472432	0.0	0.0033002280812854928	0.0	0.0	0.20319313799690056	0.0	0.0	0.0	0.012711798958960815	0.00469548831533911	0.0	0.0	0.0	0.09423927425873582	0.006852735688285478	0.001122386461342024	0.037615392140205636	0.0	0.001302586122566661	0.0061267884816376544	0.0012356548198260817	0.0045410314628608495	0.0	0.0	0.0	0.002167544496444918	0.0	0.0022035844286898455	0.015332416889341963	0.0006281245334115915	0.0	0.0	0.0	0.0	0.002013087643966658	0.0	0.00039643925469420117	0.0	0.0	0.0	0.024831513316754966	0.0	0.003948946861694186	2.57428087463767e-05	0.0	0.0	0.0	0.0	0.024960227360486847	0.0	0.0	0.003150919790556508	0.0	0.0	0.006013520123153597	0.0	0.0	2.57428087463767e-05	0.0	0.0	0.0	0.0	0.00037069644594782446	0.0	0.0	0.0	0.0	0.0	0.0	0.0012922889990681103	0.001379814548805791	4.118849399420272e-05	0.020913457825556432	0.0	0.0022911099784275264	0.0	0.0	0.0	0.0	0.0	0.003423793563268101	0.00020079390822173827	0.0	0.05794706248809395	0.0	0.00053030186017536	0.0	0.0	0.0	0.0020079390822173825	5.663417924202874e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.118849399420272e-05	0.0	0.0	0.0	0.06386275993801131
SRR23380961	0.0	0.0	0.0034665702055826854	0.08081630192319286	0.0	0.0	0.024657864592753362	0.0	0.0	0.1586784831494544	0.006842708144932779	0.0	0.008982938445770784	0.004521613311629589	0.0008440344848375233	0.0	0.06713088563332731	0.0	0.0	0.0	0.0	0.0	0.004823054199071562	0.008952794357026587	0.02025682763610056	0.0	0.0	0.0	0.01257008500633026	0.0008440344848375233	0.0013564839934888768	0.0	0.0	0.16657623440043406	0.0	0.0014167721709772714	0.00792789533972388	0.0	0.0	0.0	0.0012961958160004822	0.0	0.000572737686139748	0.014589738952191475	0.0007536022186049316	0.0	0.008138903960933261	0.0	0.0	0.0	0.0	0.010640863326701633	0.0	0.1145776813166938	0.0	0.02818472297582444	0.0	0.0028335443419545427	0.0	0.0	0.0	0.0	0.0	0.03270633628745403	0.0	0.0	0.00473262193283897	0.0	0.006089105926327847	0.012359076385120878	0.0	0.0	0.03879544221378188	0.0	0.0	0.0	0.0	0.026828238982335564	0.0	0.0	0.0	0.0	0.0	0.0	0.0026828238982335565	0.001386628082233074	0.0	0.01465002712967987	0.00036172906493036716	0.007536022186049316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014077289443540121	0.0	0.0	0.0	0.0	0.0	0.0	0.03150057273768614	0.0	0.0	0.0	0.0	0.0	0.0007536022186049316	0.0	0.0	0.016910833785494666	0.0	0.0	0.026376077651172607
SRR23381000	0.0007786082932906211	0.044847837693539776	0.0	0.0	0.0	0.0	0.0	0.002224595123687489	0.0010678056593699946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025961025093432996	0.0002447054636056238	0.0	0.012524470546360562	0.0007118704395799964	0.0	0.0	0.0	0.009120840007118705	0.00304769531945186	0.006451325858693718	0.0	0.0	0.0	0.0	0.00800854244527496	0.0	0.0	0.0	0.0	0.054702794091475354	0.0008898380494749955	0.013191849083466808	0.0	0.12762502224595124	0.014637835913863678	0.0	0.008053034347748709	0.01127869727709557	0.0	0.0	0.003603844100373732	0.0	0.006495817761167468	0.07107581420181527	0.00028919736607937356	0.0	0.0	0.0013570030254493682	0.0	0.0	0.002447054636056238	0.0	0.0005339028296849973	0.0013792489766862432	0.004204484783769354	0.0	0.0	0.0	0.0	0.006406833956219968	0.0	0.0	0.007496885566826837	0.000600640683395622	0.0	0.013681260010678056	0.0	0.007207688200747464	0.005116568784481224	0.0	0.003181171026873109	0.1844411817049297	0.011323189179569319	0.007229934151984339	0.0	0.0026250222459512367	0.0	0.0	0.008965118348460581	0.0	0.0	0.0	0.0	0.0009565759031856202	0.0018464139526606158	0.0	0.0	0.0	0.0015572165865812423	0.0	0.14762413240790176	0.0	0.0	0.017952482648158036	0.0	0.055548140238476595	0.0	0.0	0.0	0.0248042356291155	0.04584890549919914	0.0014237408791599928	0.0	0.0	0.006317850151272468	0.0003781811710268731	0.0	0.0	0.0007118704395799964	0.0
